Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0633;;Anmodning om bosetting;20
Personer;1995;0633;;Faktisk bosetting;.
Personer;1995;0633;;Vedtak om bosetting;0
Personer;1995;0701;;Anmodning om bosetting;20
Personer;1995;0701;;Faktisk bosetting;.
Personer;1995;0701;;Vedtak om bosetting;.
Personer;1995;0702;Holmestrand (t.o.m. 2017);Anmodning om bosetting;20
Personer;1995;0702;Holmestrand (t.o.m. 2017);Faktisk bosetting;.
Personer;1995;0702;Holmestrand (t.o.m. 2017);Vedtak om bosetting;0
Personer;1995;0704;Tønsberg (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;0704;Tønsberg (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0704;Tønsberg (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0706;Sandefjord (t.o.m. 2016);Anmodning om bosetting;.
Personer;1995;0706;Sandefjord (t.o.m. 2016);Faktisk bosetting;.
Personer;1995;0706;Sandefjord (t.o.m. 2016);Vedtak om bosetting;.
Personer;1995;0709;Larvik (t.o.m. 2017);Anmodning om bosetting;25
Personer;1995;0709;Larvik (t.o.m. 2017);Faktisk bosetting;.
Personer;1995;0709;Larvik (t.o.m. 2017);Vedtak om bosetting;.
Personer;1995;0711;Svelvik (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;0711;Svelvik (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0711;Svelvik (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0713;Sande (Vestfold) (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;0713;Sande (Vestfold) (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0713;Sande (Vestfold) (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;0714;Hof (t.o.m. 2017);Anmodning om bosetting;0
Personer;1995;0714;Hof (t.o.m. 2017);Faktisk bosetting;.
Personer;1995;0714;Hof (t.o.m. 2017);Vedtak om bosetting;.
Personer;1995;0716;Re (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;0716;Re (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0716;Re (t.o.m. 2019);Vedtak om bosetting;0
Personer;1995;0718;;Anmodning om bosetting;.
Personer;1995;0718;;Faktisk bosetting;.
Personer;1995;0718;;Vedtak om bosetting;.
Personer;1995;0719;Andebu (t.o.m. 2016);Anmodning om bosetting;.
Personer;1995;0719;Andebu (t.o.m. 2016);Faktisk bosetting;.
Personer;1995;0719;Andebu (t.o.m. 2016);Vedtak om bosetting;.
Personer;1995;0720;Stokke (t.o.m. 2016);Anmodning om bosetting;20
Personer;1995;0720;Stokke (t.o.m. 2016);Faktisk bosetting;.
Personer;1995;0720;Stokke (t.o.m. 2016);Vedtak om bosetting;.
Personer;1995;0722;Nøtterøy (t.o.m. 2017);Anmodning om bosetting;.
Personer;1995;0722;Nøtterøy (t.o.m. 2017);Faktisk bosetting;.
Personer;1995;0722;Nøtterøy (t.o.m. 2017);Vedtak om bosetting;.
