Kommune,År,Kjønn,Alder,Dødsårsaker,Måltall,Antall,SortKommune
Hjartdal,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Tinn,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",185.1,17
Tinn,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",228.0,17
Tinn,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",244.6,17
Tinn,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",229.4,17
Tinn,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",240.6,17
Tinn,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",292.9,17
Tinn,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",164.6,17
Tinn,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",311.0,17
Tinn,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",265.4,17
Tinn,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",381.6,17
Kviteseid,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",270.9,8
Kviteseid,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",237.9,8
Kviteseid,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",241.2,8
Kviteseid,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,8
Kviteseid,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",336.7,8
Kviteseid,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,8
Kviteseid,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",217.5,8
Kviteseid,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",183.9,8
Kviteseid,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",181.2,8
Kviteseid,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",148.5,8
Nissedal,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Nissedal,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,10
Fyresdal,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Fyresdal,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,5
Tokke,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,18
Tokke,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",413.9,18
Tokke,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,18
Tokke,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",261.0,18
Tokke,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",257.9,18
Tokke,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",181.6,18
Tokke,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",252.5,18
Tokke,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",212.9,18
Tokke,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",316.9,18
Tokke,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",243.4,18
Vinje,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",255.8,19
Vinje,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",327.6,19
Vinje,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",175.2,19
Vinje,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",172.6,19
Vinje,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",220.1,19
Vinje,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",118.4,19
Vinje,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",250.1,19
Vinje,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",110.9,19
Vinje,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",261.2,19
Vinje,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",168.8,19
