Kommune,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortKommune
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",41.4,3,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",135.4,3,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.6,3,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",651.9,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",86.6,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",64.2,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",91.2,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",43.8,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",69.2,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",693.8,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",89.3,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",66.2,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",96.2,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",44.5,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.9,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2013-2022,2022-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",199.5,2,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",609.4,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",83.9,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",62.2,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",86.1,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",43.0,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",138.5,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.5,3,2
Hele landet,2013-2022,2022-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",652.3,1,2
