Geografi,År,Kjønn,Alder,Svarkategori,sosial status,Måltall,value
Midt-Telemark,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",17.5932783375023
Midt-Telemark,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.6991115910095
Midt-Telemark,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",22.2801483792765
Midt-Telemark,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Midt-Telemark,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Midt-Telemark,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Seljord,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",20.7384524266243
Seljord,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",15.4833939256583
Seljord,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",25.6769944949609
Seljord,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
