Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger,Dato
Fylker,Ukjent,"Jordbruk, skogbruk og fiske",2.0,0.0,2025-08-01
Fylker,Ukjent,Kontorarbeid,6.0,0.0,2025-08-01
Fylker,Ukjent,Ledere,5.0,0.0,2025-08-01
Fylker,Ukjent,Meglere og konsulenter,1.0,0.0,2025-08-01
Fylker,Ukjent,Reiseliv og transport,14.0,0.0,2025-08-01
Fylker,Ukjent,Serviceyrker og annet arbeid,12.0,0.0,2025-08-01
Fylker,Ukjent,Undervisning,3.0,0.0,2025-08-01
Fylker,Vestfold,Akademiske yrker,77.0,23.0,2025-08-01
Fylker,Vestfold,Barne- og ungdomsarbeid,274.0,56.0,2025-08-01
Fylker,Vestfold,Butikk- og salgsarbeid,519.0,199.0,2025-08-01
Fylker,Vestfold,Bygg og anlegg,450.0,58.0,2025-08-01
Fylker,Vestfold,"Helse, pleie og omsorg",357.0,264.0,2025-08-01
Fylker,Vestfold,Industriarbeid,381.0,108.0,2025-08-01
Fylker,Vestfold,Ingen yrkesbakgrunn eller uoppgitt,482.0,0.0,2025-08-01
Fylker,Vestfold,Ingeniør- og ikt-fag,224.0,53.0,2025-08-01
Fylker,Vestfold,"Jordbruk, skogbruk og fiske",52.0,4.0,2025-08-01
Fylker,Vestfold,Kontorarbeid,435.0,82.0,2025-08-01
Fylker,Vestfold,Ledere,250.0,20.0,2025-08-01
Fylker,Vestfold,Meglere og konsulenter,146.0,17.0,2025-08-01
Fylker,Vestfold,Reiseliv og transport,412.0,106.0,2025-08-01
Fylker,Vestfold,Serviceyrker og annet arbeid,448.0,89.0,2025-08-01
Fylker,Vestfold,Undervisning,182.0,49.0,2025-08-01
Fylker,Vestland,Akademiske yrker,211.0,147.0,2025-08-01
Fylker,Vestland,Barne- og ungdomsarbeid,513.0,177.0,2025-08-01
Fylker,Vestland,Butikk- og salgsarbeid,829.0,397.0,2025-08-01
Fylker,Vestland,Bygg og anlegg,707.0,488.0,2025-08-01
Fylker,Vestland,"Helse, pleie og omsorg",637.0,827.0,2025-08-01
Fylker,Vestland,Industriarbeid,902.0,399.0,2025-08-01
Fylker,Vestland,Ingen yrkesbakgrunn eller uoppgitt,1415.0,0.0,2025-08-01
Fylker,Vestland,Ingeniør- og ikt-fag,506.0,409.0,2025-08-01
Fylker,Vestland,"Jordbruk, skogbruk og fiske",109.0,14.0,2025-08-01
Fylker,Vestland,Kontorarbeid,610.0,172.0,2025-08-01
Fylker,Vestland,Ledere,334.0,98.0,2025-08-01
Fylker,Vestland,Meglere og konsulenter,248.0,88.0,2025-08-01
Fylker,Vestland,Reiseliv og transport,872.0,376.0,2025-08-01
Fylker,Vestland,Serviceyrker og annet arbeid,934.0,286.0,2025-08-01
Fylker,Vestland,Undervisning,477.0,165.0,2025-08-01
Fylker,Østfold,Akademiske yrker,70.0,29.0,2025-08-01
Fylker,Østfold,Barne- og ungdomsarbeid,408.0,104.0,2025-08-01
Fylker,Østfold,Butikk- og salgsarbeid,698.0,163.0,2025-08-01
Fylker,Østfold,Bygg og anlegg,636.0,62.0,2025-08-01
Fylker,Østfold,"Helse, pleie og omsorg",576.0,305.0,2025-08-01
Fylker,Østfold,Industriarbeid,537.0,90.0,2025-08-01
Fylker,Østfold,Ingen yrkesbakgrunn eller uoppgitt,803.0,0.0,2025-08-01
Fylker,Østfold,Ingeniør- og ikt-fag,264.0,32.0,2025-08-01
Fylker,Østfold,"Jordbruk, skogbruk og fiske",67.0,7.0,2025-08-01
Fylker,Østfold,Kontorarbeid,545.0,0.0,2025-08-01
Fylker,Østfold,Ledere,236.0,17.0,2025-08-01
Fylker,Østfold,Meglere og konsulenter,112.0,16.0,2025-08-01
Fylker,Østfold,Reiseliv og transport,498.0,75.0,2025-08-01
Fylker,Østfold,Serviceyrker og annet arbeid,713.0,0.0,2025-08-01
Fylker,Østfold,Undervisning,245.0,37.0,2025-08-01
Fylker,Øvrige områder,Akademiske yrker,0.0,1.0,2025-08-01
Fylker,Øvrige områder,Barne- og ungdomsarbeid,0.0,0.0,2025-08-01
Fylker,Øvrige områder,Butikk- og salgsarbeid,0.0,0.0,2025-08-01
Fylker,Øvrige områder,Bygg og anlegg,0.0,0.0,2025-08-01
Fylker,Øvrige områder,"Helse, pleie og omsorg",0.0,2.0,2025-08-01
Fylker,Øvrige områder,Industriarbeid,0.0,2.0,2025-08-01
Fylker,Øvrige områder,Ingeniør- og ikt-fag,0.0,4.0,2025-08-01
Fylker,Øvrige områder,Kontorarbeid,0.0,1.0,2025-08-01
Fylker,Øvrige områder,Ledere,0.0,2.0,2025-08-01
Fylker,Øvrige områder,Meglere og konsulenter,0.0,1.0,2025-08-01
Fylker,Øvrige områder,Reiseliv og transport,0.0,4.0,2025-08-01
Fylker,Øvrige områder,Serviceyrker og annet arbeid,0.0,3.0,2025-08-01
Fylker,Øvrige områder,Undervisning,0.0,1.0,2025-08-01
Landet,Landet,Akademiske yrker,2125.0,905.0,2025-08-01
Landet,Landet,Barne- og ungdomsarbeid,5297.0,1616.0,2025-08-01
Landet,Landet,Butikk- og salgsarbeid,9218.0,4588.0,2025-08-01
Landet,Landet,Bygg og anlegg,8260.0,2319.0,2025-08-01
Landet,Landet,"Helse, pleie og omsorg",6804.0,6342.0,2025-08-01
Landet,Landet,Industriarbeid,7743.0,2380.0,2025-08-01
Landet,Landet,Ingen yrkesbakgrunn eller uoppgitt,12907.0,17.0,2025-08-01
Landet,Landet,Ingeniør- og ikt-fag,5632.0,2157.0,2025-08-01
Landet,Landet,"Jordbruk, skogbruk og fiske",1093.0,105.0,2025-08-01
Landet,Landet,Kontorarbeid,6987.0,1788.0,2025-08-01
Landet,Landet,Ledere,4211.0,783.0,2025-08-01
Landet,Landet,Meglere og konsulenter,2728.0,897.0,2025-08-01
Landet,Landet,Reiseliv og transport,8292.0,3250.0,2025-08-01
Landet,Landet,Serviceyrker og annet arbeid,9961.0,2623.0,2025-08-01
Landet,Landet,Undervisning,3958.0,1410.0,2025-08-01
Telemark kommuner,Bamble,Akademiske yrker,2.0,1.0,2025-08-01
Telemark kommuner,Bamble,Barne- og ungdomsarbeid,6.0,4.0,2025-08-01
Telemark kommuner,Bamble,Butikk- og salgsarbeid,31.0,11.0,2025-08-01
Telemark kommuner,Bamble,Bygg og anlegg,22.0,2.0,2025-08-01
Telemark kommuner,Bamble,"Helse, pleie og omsorg",20.0,33.0,2025-08-01
Telemark kommuner,Bamble,Industriarbeid,35.0,5.0,2025-08-01
Telemark kommuner,Bamble,Ingen yrkesbakgrunn eller uoppgitt,48.0,0.0,2025-08-01
Telemark kommuner,Bamble,Ingeniør- og ikt-fag,16.0,0.0,2025-08-01
Telemark kommuner,Bamble,"Jordbruk, skogbruk og fiske",1.0,0.0,2025-08-01
Telemark kommuner,Bamble,Kontorarbeid,18.0,2.0,2025-08-01
Telemark kommuner,Bamble,Ledere,4.0,2.0,2025-08-01
Telemark kommuner,Bamble,Meglere og konsulenter,4.0,0.0,2025-08-01
Telemark kommuner,Bamble,Reiseliv og transport,24.0,6.0,2025-08-01
Telemark kommuner,Bamble,Serviceyrker og annet arbeid,30.0,1.0,2025-08-01
Telemark kommuner,Bamble,Undervisning,12.0,1.0,2025-08-01
Telemark kommuner,Drangedal,Akademiske yrker,1.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Barne- og ungdomsarbeid,3.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Butikk- og salgsarbeid,2.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Bygg og anlegg,7.0,0.0,2025-08-01
Telemark kommuner,Drangedal,"Helse, pleie og omsorg",4.0,4.0,2025-08-01
Telemark kommuner,Drangedal,Industriarbeid,7.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Ingen yrkesbakgrunn eller uoppgitt,24.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Ingeniør- og ikt-fag,3.0,0.0,2025-08-01
Telemark kommuner,Drangedal,"Jordbruk, skogbruk og fiske",1.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Kontorarbeid,7.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Ledere,3.0,1.0,2025-08-01
Telemark kommuner,Drangedal,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Reiseliv og transport,6.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Serviceyrker og annet arbeid,3.0,0.0,2025-08-01
Telemark kommuner,Drangedal,Undervisning,0.0,1.0,2025-08-01
Telemark kommuner,Fyresdal,Akademiske yrker,0.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Barne- og ungdomsarbeid,1.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Butikk- og salgsarbeid,1.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Bygg og anlegg,0.0,1.0,2025-08-01
Telemark kommuner,Fyresdal,"Helse, pleie og omsorg",0.0,4.0,2025-08-01
Telemark kommuner,Fyresdal,Industriarbeid,0.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Ingen yrkesbakgrunn eller uoppgitt,3.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Ingeniør- og ikt-fag,1.0,1.0,2025-08-01
Telemark kommuner,Fyresdal,"Jordbruk, skogbruk og fiske",1.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Kontorarbeid,0.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Ledere,0.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Meglere og konsulenter,0.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Reiseliv og transport,1.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Serviceyrker og annet arbeid,2.0,0.0,2025-08-01
Telemark kommuner,Fyresdal,Undervisning,1.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Akademiske yrker,1.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Barne- og ungdomsarbeid,2.0,1.0,2025-08-01
