ï»¿ogc_fid;ssbid250m;pop_tot
1102;23385006670000;9
1103;23382506670250;1
1104;23460006668750;1
1105;23460006669000;5
1106;23462506669000;2
1107;23460006669250;4
1108;23462506669500;1
1109;23460006669500;1
1110;23470006670000;3
1111;23465006670750;3
1112;23465006671000;4
1113;23420006670250;3
1114;23420006670500;1
1115;23620006680000;2
1116;23612506680250;2
1117;23620006680500;2
1118;23625006678750;3
1119;23625006680000;2
1120;23625006680250;2
1121;23620006683500;1
1122;23562506662750;4
1123;23605006664250;1
1124;23605006664500;2
1125;23590006665750;4
1126;23552506666000;1
1127;23555006667250;1
1128;23565006666250;6
1129;23560006666000;2
1130;23557506666000;8
1131;23560006666250;3
1132;23562506666250;3
1133;23572506667000;1
1134;23560006666750;2
1135;23557506667000;1
1136;23560006667250;2
1137;23567506666500;1
1138;23570006667000;1
1139;23565006667500;1
1140;23567506667750;3
1141;23565006667750;1
1142;23565006668000;3
1143;23585006666750;1
1144;23585006667000;1
1145;23582506667500;2
1146;23580006667500;3
1147;23542506667750;7
1148;23540006668000;1
1149;23572506667250;4
1150;23572506667500;2
1151;23570006668750;1
1152;23567506668750;1
1153;23565006669250;2
1154;23582506670500;3
1155;23580006671000;4
1156;23582506671000;1
1157;23442506669000;1
1158;23437506669750;1
1159;23425006671500;2
1160;23392506670000;1
1161;23387506670000;2
1162;23457506672250;3
1163;23460006672500;3
1164;23432506672250;2
1165;23437506672750;3
1166;23440006673000;1
1167;23417506673500;5
1168;23465006672750;1
1169;23392506674250;1
1170;23390006674750;4
1171;23387506674750;2
1172;23382506674250;4
1173;23385006674500;1
1174;23382506674750;2
1175;23395006674750;3
1176;23390006675000;2
1177;23392506675000;1
1178;23387506675500;2
1179;23390006675500;9
1180;23392506675500;2
1181;23395006676250;1
1182;23410006676500;7
1183;23425006675250;1
1184;23432506676000;1
1185;23480006667250;2
1186;23477506669250;2
1187;23477506669500;1
1188;23477506669750;3
1189;23480006669250;2
1190;23480006670000;2
1191;23472506669750;1
1192;23490006671250;5
1193;23485006672500;3
1194;23482506672750;1
1195;23500006670750;1
1196;23497506670750;4
1197;23505006671250;3
1198;23505006671500;3
1199;23502506671500;1
1200;23502506671750;4
1201;23517506670250;3
1202;23520006670750;4
1203;23517506671500;5
1204;23517506671750;8
1205;23517506672000;2
1206;23517506672250;3
1207;23532506672500;2
1208;23532506672750;2
1209;23517506672500;6
1210;23515006672500;3
1211;23512506673750;2
1212;23495006674500;1
1213;23512506674750;5
1214;23510006675000;2
1215;23507506675000;2
1216;23507506675250;5
1217;23505006675000;1
1218;23505006675500;3
1219;23507506676000;4
1220;23485006673250;2
1221;23515006674000;4
1222;23515006675000;4
1223;23532506676000;2
1224;23535006676250;4
1225;23530006676250;2
1226;23480006677250;3
1227;23480006677500;2
1228;23490006678000;1
1229;23532506676500;1
