Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
4012,Bamble,1106,Haugesund,2025-01-01,5
4012,Bamble,1108,Sandnes,2025-01-01,1
4012,Bamble,1124,Sola,2025-01-01,2
4012,Bamble,1149,Karmøy,2025-01-01,1
4012,Bamble,4601,Bergen,2025-01-01,6
4012,Bamble,4626,Øygarden,2025-01-01,6
4012,Bamble,4627,Askøy,2025-01-01,2
4012,Bamble,1505,Kristiansund,2025-01-01,7
4012,Bamble,1508,Ålesund,2025-01-01,3
4012,Bamble,1577,Volda,2025-01-01,1
4012,Bamble,1579,Hustadvika,2025-01-01,2
4012,Bamble,,Trondheim - Tråante,2025-01-01,6
4012,Bamble,,Namsos - Nåavmesjenjaelmie,2025-01-01,1
4012,Bamble,,Levanger - Levangke,2025-01-01,2
4012,Bamble,5044,Namsskogan,2025-01-01,3
4012,Bamble,1806,Narvik,2025-01-01,3
4012,Bamble,1815,Vega,2025-01-01,4
4012,Bamble,1837,Meløy,2025-01-01,1
4012,Bamble,1866,Hadsel,2025-01-01,2
4012,Bamble,,Sortland - Suortá,2025-01-01,2
4012,Bamble,5501,Tromsø,2025-01-01,2
4012,Bamble,5520,Bardu,2025-01-01,1
4012,Bamble,5607,Vadsø,2025-01-01,2
4012,Bamble,,Porsanger - Porsángu - Porsanki,2025-01-01,2
4014,Kragerø,3101,Halden,2025-01-01,2
4014,Kragerø,3105,Sarpsborg,2025-01-01,4
4014,Kragerø,3110,Hvaler,2025-01-01,2
4014,Kragerø,3201,Bærum,2025-01-01,8
4014,Kragerø,3203,Asker,2025-01-01,5
4014,Kragerø,3205,Lillestrøm,2025-01-01,1
4014,Kragerø,3209,Ullensaker,2025-01-01,1
4014,Kragerø,3212,Nesodden,2025-01-01,2
4014,Kragerø,3222,Lørenskog,2025-01-01,2
4014,Kragerø,3224,Rælingen,2025-01-01,2
4014,Kragerø,3228,Nes,2025-01-01,1
4014,Kragerø,3236,Jevnaker,2025-01-01,3
4014,Kragerø,3240,Eidsvoll,2025-01-01,4
4014,Kragerø,,Oslo - Oslove,2025-01-01,71
4014,Kragerø,3301,Drammen,2025-01-01,7
4014,Kragerø,3305,Ringerike,2025-01-01,4
4014,Kragerø,3314,Øvre Eiker,2025-01-01,1
4014,Kragerø,3405,Lillehammer,2025-01-01,2
4014,Kragerø,3414,Nord-Odal,2025-01-01,1
4014,Kragerø,3422,Åmot,2025-01-01,1
4014,Kragerø,3424,Rendalen,2025-01-01,2
4014,Kragerø,3439,Ringebu,2025-01-01,1
4014,Kragerø,3901,Horten,2025-01-01,1
4014,Kragerø,3903,Holmestrand,2025-01-01,3
4014,Kragerø,3905,Tønsberg,2025-01-01,3
4014,Kragerø,3907,Sandefjord,2025-01-01,10
4014,Kragerø,3909,Larvik,2025-01-01,13
4014,Kragerø,4001,Porsgrunn,2025-01-01,25
4014,Kragerø,4003,Skien,2025-01-01,31
4014,Kragerø,4005,Notodden,2025-01-01,2
4014,Kragerø,4010,Siljan,2025-01-01,2
4014,Kragerø,4012,Bamble,2025-01-01,17
4014,Kragerø,4016,Drangedal,2025-01-01,22
4014,Kragerø,4018,Nome,2025-01-01,3
