Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Vestfold,3919.0,3.3,-222.0,-5.4,2011,April,
Østfold,4968.0,3.6,20.0,0.4,2011,April,
Øvrige områder,38.0,,-3.0,-7.3,2011,April,
Akershus,6527.0,2.2,-459.0,-6.6,2011,Mai,
Aust-Agder,1526.0,2.7,-240.0,-13.6,2011,Mai,
Buskerud,3428.0,2.5,-312.0,-8.3,2011,Mai,
Finnmark,1076.0,2.8,-279.0,-20.6,2011,Mai,
Hedmark,2470.0,2.6,-73.0,-2.9,2011,Mai,
Hordaland,5803.0,2.2,-303.0,-5.0,2011,Mai,
Landet,64659.0,2.5,-5935.0,-8.4,2011,Mai,
Møre og Romsdal,2786.0,2.1,-224.0,-7.4,2011,Mai,
Nord-Trøndelag,1464.0,2.2,-371.0,-20.2,2011,Mai,
Nordland,3198.0,2.7,46.0,1.5,2011,Mai,
Oppland,2123.0,2.2,-35.0,-1.6,2011,Mai,
Oslo,10494.0,3.1,-1512.0,-12.6,2011,Mai,
Rogaland,4424.0,1.9,-783.0,-15.0,2011,Mai,
Sogn og Fjordane,1019.0,1.8,-222.0,-17.9,2011,Mai,
Sør-Trøndelag,3952.0,2.5,-314.0,-7.4,2011,Mai,
Telemark,2415.0,2.8,-379.0,-13.6,2011,Mai,
Troms,1832.0,2.2,-206.0,-10.1,2011,Mai,
Vest-Agder,2137.0,2.4,-193.0,-8.3,2011,Mai,
Vestfold,3535.0,2.9,-58.0,-1.6,2011,Mai,
Østfold,4419.0,3.2,-19.0,-0.4,2011,Mai,
Øvrige områder,31.0,,1.0,3.3,2011,Mai,
Akershus,6547.0,2.3,-511.0,-7.2,2011,Juni,
Aust-Agder,1674.0,3.0,-140.0,-7.7,2011,Juni,
Buskerud,3467.0,2.5,-393.0,-10.2,2011,Juni,
Finnmark,1102.0,2.9,-186.0,-14.4,2011,Juni,
Hedmark,2477.0,2.6,-82.0,-3.2,2011,Juni,
Hordaland,6094.0,2.4,-121.0,-1.9,2011,Juni,
Landet,65487.0,2.5,-6140.0,-8.6,2011,Juni,
Møre og Romsdal,2733.0,2.0,-203.0,-6.9,2011,Juni,
Nord-Trøndelag,1510.0,2.3,-227.0,-13.1,2011,Juni,
Nordland,3245.0,2.7,29.0,0.9,2011,Juni,
Oppland,2012.0,2.1,42.0,2.1,2011,Juni,
Oslo,10456.0,3.1,-1959.0,-15.8,2011,Juni,
Rogaland,4471.0,1.9,-584.0,-11.6,2011,Juni,
Sogn og Fjordane,954.0,1.7,-251.0,-20.8,2011,Juni,
Sør-Trøndelag,3977.0,2.5,-372.0,-8.6,2011,Juni,
Telemark,2740.0,3.2,-52.0,-1.9,2011,Juni,
Troms,1829.0,2.2,-243.0,-11.7,2011,Juni,
Vest-Agder,2177.0,2.4,-319.0,-12.8,2011,Juni,
Vestfold,3630.0,3.0,-187.0,-4.9,2011,Juni,
Østfold,4362.0,3.2,-381.0,-8.0,2011,Juni,
Øvrige områder,30.0,,0.0,0.0,2011,Juni,
Akershus,7227.0,2.5,-553.0,-7.1,2011,Juli,
Aust-Agder,1775.0,3.2,-216.0,-10.8,2011,Juli,
Buskerud,3733.0,2.7,-420.0,-10.1,2011,Juli,
Finnmark,1273.0,3.3,-128.0,-9.1,2011,Juli,
Hedmark,2759.0,2.9,-9.0,-0.3,2011,Juli,
Hordaland,6575.0,2.5,-340.0,-4.9,2011,Juli,
Landet,72605.0,2.8,-5637.0,-7.2,2011,Juli,
Møre og Romsdal,3046.0,2.3,-275.0,-8.3,2011,Juli,
Nord-Trøndelag,1736.0,2.6,-310.0,-15.2,2011,Juli,
Nordland,3606.0,3.0,115.0,3.3,2011,Juli,
Oppland,2225.0,2.3,61.0,2.8,2011,Juli,
Oslo,11887.0,3.5,-1829.0,-13.3,2011,Juli,
Rogaland,4805.0,2.0,-423.0,-8.1,2011,Juli,
Sogn og Fjordane,1175.0,2.1,-188.0,-13.8,2011,Juli,
Sør-Trøndelag,4388.0,2.8,-456.0,-9.4,2011,Juli,
Telemark,3058.0,3.5,106.0,3.6,2011,Juli,
Troms,2022.0,2.4,-224.0,-10.0,2011,Juli,
Vest-Agder,2491.0,2.8,-119.0,-4.6,2011,Juli,
Vestfold,4019.0,3.3,-123.0,-3.0,2011,Juli,
Østfold,4777.0,3.5,-308.0,-6.1,2011,Juli,
Øvrige områder,28.0,,2.0,7.7,2011,Juli,
Akershus,7090.0,2.4,-295.0,-4.0,2011,August,
Aust-Agder,1798.0,3.2,-107.0,-5.6,2011,August,
Buskerud,3688.0,2.6,-221.0,-5.7,2011,August,
Finnmark,1339.0,3.5,8.0,0.6,2011,August,
Hedmark,2788.0,2.9,77.0,2.8,2011,August,
Hordaland,6435.0,2.5,-261.0,-3.9,2011,August,
Landet,71344.0,2.7,-4757.0,-6.3,2011,August,
Møre og Romsdal,2983.0,2.2,-322.0,-9.7,2011,August,
Nord-Trøndelag,1684.0,2.5,-190.0,-10.1,2011,August,
Nordland,3654.0,3.0,-11.0,-0.3,2011,August,
Oppland,2140.0,2.2,35.0,1.7,2011,August,
Oslo,11282.0,3.3,-2120.0,-15.8,2011,August,
Rogaland,4877.0,2.1,-378.0,-7.2,2011,August,
Sogn og Fjordane,1139.0,2.0,-185.0,-14.0,2011,August,
Sør-Trøndelag,4161.0,2.7,-535.0,-11.4,2011,August,
Telemark,3122.0,3.6,279.0,9.8,2011,August,
Troms,1968.0,2.4,-150.0,-7.1,2011,August,
Vest-Agder,2534.0,2.8,-132.0,-5.0,2011,August,
Vestfold,3978.0,3.3,138.0,3.6,2011,August,
Østfold,4659.0,3.4,-382.0,-7.6,2011,August,
Øvrige områder,25.0,,-5.0,-16.7,2011,August,
Akershus,6577.0,2.3,-507.0,-7.2,2011,September,
Aust-Agder,1621.0,2.9,-207.0,-11.3,2011,September,
Buskerud,3452.0,2.5,-169.0,-4.7,2011,September,
Finnmark,1219.0,3.2,74.0,6.5,2011,September,
Hedmark,2435.0,2.5,-59.0,-2.4,2011,September,
Hordaland,5767.0,2.2,-405.0,-6.6,2011,September,
Landet,65254.0,2.5,-6177.0,-8.6,2011,September,
Møre og Romsdal,2708.0,2.0,-265.0,-8.9,2011,September,
Nord-Trøndelag,1522.0,2.3,-91.0,-5.6,2011,September,
Nordland,3335.0,2.8,56.0,1.7,2011,September,
Oppland,1925.0,2.0,-16.0,-0.8,2011,September,
Oslo,10764.0,3.2,-2218.0,-17.1,2011,September,
Rogaland,4612.0,1.9,-574.0,-11.1,2011,September,
Sogn og Fjordane,895.0,1.6,-174.0,-16.3,2011,September,
Sør-Trøndelag,3636.0,2.3,-710.0,-16.3,2011,September,
Telemark,2850.0,3.3,115.0,4.2,2011,September,
Troms,1684.0,2.0,-270.0,-13.8,2011,September,
Vest-Agder,2266.0,2.5,-234.0,-9.4,2011,September,
Vestfold,3722.0,3.1,45.0,1.2,2011,September,
Østfold,4237.0,3.1,-561.0,-11.7,2011,September,
Øvrige områder,27.0,,-7.0,-20.6,2011,September,
Akershus,6395.0,2.2,-605.0,-8.6,2011,Oktober,
Aust-Agder,1626.0,2.9,-17.0,-1.0,2011,Oktober,
Buskerud,3307.0,2.4,-130.0,-3.8,2011,Oktober,
Finnmark,1145.0,3.0,-17.0,-1.5,2011,Oktober,
Hedmark,2418.0,2.5,41.0,1.7,2011,Oktober,
Hordaland,5596.0,2.2,-492.0,-8.1,2011,Oktober,
Landet,63300.0,2.4,-6490.0,-9.3,2011,Oktober,
Møre og Romsdal,2549.0,1.9,-350.0,-12.1,2011,Oktober,
Nord-Trøndelag,1410.0,2.1,-133.0,-8.6,2011,Oktober,
Nordland,3278.0,2.7,107.0,3.4,2011,Oktober,
Oppland,1955.0,2.0,-35.0,-1.8,2011,Oktober,
Oslo,10588.0,3.1,-2031.0,-16.1,2011,Oktober,
Rogaland,4392.0,1.9,-757.0,-14.7,2011,Oktober,
Sogn og Fjordane,878.0,1.6,-135.0,-13.3,2011,Oktober,
Sør-Trøndelag,3347.0,2.1,-988.0,-22.8,2011,Oktober,
Telemark,2669.0,3.1,-36.0,-1.3,2011,Oktober,
Troms,1586.0,1.9,-216.0,-12.0,2011,Oktober,
Vest-Agder,2314.0,2.6,-116.0,-4.8,2011,Oktober,
Vestfold,3582.0,3.0,-32.0,-0.9,2011,Oktober,
Østfold,4242.0,3.1,-541.0,-11.3,2011,Oktober,
Øvrige områder,23.0,,-7.0,-23.3,2011,Oktober,
Akershus,6044.0,2.1,-561.0,-8.5,2011,November,
Aust-Agder,1659.0,3.0,-89.0,-5.1,2011,November,
Buskerud,3279.0,2.4,-186.0,-5.4,2011,November,
Finnmark,1095.0,2.9,-17.0,-1.5,2011,November,
Hedmark,2401.0,2.5,-105.0,-4.2,2011,November,
Hordaland,5410.0,2.1,-723.0,-11.8,2011,November,
Landet,61595.0,2.4,-7771.0,-11.2,2011,November,
Møre og Romsdal,2546.0,1.9,-329.0,-11.4,2011,November,
Nord-Trøndelag,1432.0,2.2,-156.0,-9.8,2011,November,
Nordland,3071.0,2.6,-139.0,-4.3,2011,November,
Oppland,1921.0,2.0,-25.0,-1.3,2011,November,
Oslo,9955.0,2.9,-2209.0,-18.2,2011,November,
Rogaland,4278.0,1.8,-896.0,-17.3,2011,November,
Sogn og Fjordane,861.0,1.5,-179.0,-17.2,2011,November,
Sør-Trøndelag,3343.0,2.1,-1026.0,-23.5,2011,November,
Telemark,2777.0,3.2,98.0,3.7,2011,November,
