Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_4_gr,Sort_Bygningstype_4_gr,Antall
4005,Notodden,01.01.2018,Boligblokk,2,Leilighet,2,437
4005,Notodden,01.01.2018,Bygning for bofellesskap,6,Annen boligbygging,4,292
4005,Notodden,01.01.2018,Andre bygningstyper,5,Annen boligbygging,4,429
4005,Notodden,01.01.2019,Enebolig,1,Enebolig,1,4512
4005,Notodden,01.01.2019,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,627
4005,Notodden,01.01.2019,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,592
4005,Notodden,01.01.2019,Boligblokk,2,Leilighet,2,437
4005,Notodden,01.01.2019,Bygning for bofellesskap,6,Annen boligbygging,4,346
4005,Notodden,01.01.2019,Andre bygningstyper,5,Annen boligbygging,4,437
4005,Notodden,01.01.2020,Enebolig,1,Enebolig,1,4746
4005,Notodden,01.01.2020,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,629
4005,Notodden,01.01.2020,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,597
4005,Notodden,01.01.2020,Boligblokk,2,Leilighet,2,431
4005,Notodden,01.01.2020,Bygning for bofellesskap,6,Annen boligbygging,4,391
4005,Notodden,01.01.2020,Andre bygningstyper,5,Annen boligbygging,4,440
4005,Notodden,01.01.2021,Enebolig,1,Enebolig,1,4755
4005,Notodden,01.01.2021,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,627
4005,Notodden,01.01.2021,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,616
4005,Notodden,01.01.2021,Boligblokk,2,Leilighet,2,431
4005,Notodden,01.01.2021,Bygning for bofellesskap,6,Annen boligbygging,4,390
4005,Notodden,01.01.2021,Andre bygningstyper,5,Annen boligbygging,4,439
4005,Notodden,01.01.2022,Enebolig,1,Enebolig,1,4772
4005,Notodden,01.01.2022,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,607
4005,Notodden,01.01.2022,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,628
4005,Notodden,01.01.2022,Boligblokk,2,Leilighet,2,428
4005,Notodden,01.01.2022,Bygning for bofellesskap,6,Annen boligbygging,4,395
4005,Notodden,01.01.2022,Andre bygningstyper,5,Annen boligbygging,4,463
4005,Notodden,01.01.2023,Enebolig,1,Enebolig,1,4776
4005,Notodden,01.01.2023,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,609
4005,Notodden,01.01.2023,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,629
4005,Notodden,01.01.2023,Boligblokk,2,Leilighet,2,433
4005,Notodden,01.01.2023,Bygning for bofellesskap,6,Annen boligbygging,4,395
4005,Notodden,01.01.2023,Andre bygningstyper,5,Annen boligbygging,4,447
4005,Notodden,01.01.2024,Enebolig,1,Enebolig,1,4787
4005,Notodden,01.01.2024,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,607
4005,Notodden,01.01.2024,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,635
4005,Notodden,01.01.2024,Boligblokk,2,Leilighet,2,438
4005,Notodden,01.01.2024,Bygning for bofellesskap,6,Annen boligbygging,4,395
4005,Notodden,01.01.2024,Andre bygningstyper,5,Annen boligbygging,4,504
4005,Notodden,01.01.2025,Enebolig,1,Enebolig,1,4778
4005,Notodden,01.01.2025,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,605
4005,Notodden,01.01.2025,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,635
4005,Notodden,01.01.2025,Boligblokk,2,Leilighet,2,439
4005,Notodden,01.01.2025,Bygning for bofellesskap,6,Annen boligbygging,4,386
4005,Notodden,01.01.2025,Andre bygningstyper,5,Annen boligbygging,4,515
4005,Notodden,01.01.2026,Enebolig,1,Enebolig,1,4772
4005,Notodden,01.01.2026,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,603
4005,Notodden,01.01.2026,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,638
4005,Notodden,01.01.2026,Boligblokk,2,Leilighet,2,439
4005,Notodden,01.01.2026,Bygning for bofellesskap,6,Annen boligbygging,4,386
4005,Notodden,01.01.2026,Andre bygningstyper,5,Annen boligbygging,4,525
4010,Siljan,01.01.2013,Enebolig,1,Enebolig,1,896
4010,Siljan,01.01.2013,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,59
4010,Siljan,01.01.2013,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,55
4010,Siljan,01.01.2013,Boligblokk,2,Leilighet,2,20
4010,Siljan,01.01.2013,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2013,Andre bygningstyper,5,Annen boligbygging,4,5
4010,Siljan,01.01.2014,Enebolig,1,Enebolig,1,897
4010,Siljan,01.01.2014,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,53
4010,Siljan,01.01.2014,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,52
4010,Siljan,01.01.2014,Boligblokk,2,Leilighet,2,20
4010,Siljan,01.01.2014,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2014,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2015,Enebolig,1,Enebolig,1,899
4010,Siljan,01.01.2015,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,53
