Kommunenummer,Kommune,År,Bygningstype,SortBygningstype,Største bygningstyper,SortStorsteBygningstype,Antall
4001,Porsgrunn,01.01.2007,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2007,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2007,Andre bygg enn boligbygg,11,Andre,10,10
4001,Porsgrunn,01.01.2008,Enebolig,1,Enebolig,1,28
4001,Porsgrunn,01.01.2008,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,4
4001,Porsgrunn,01.01.2008,Våningshus,8,Våningshus,8,2
4001,Porsgrunn,01.01.2008,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,36
4001,Porsgrunn,01.01.2008,"Tomannsbolig, horisontaldelt",13,Andre,10,2
4001,Porsgrunn,01.01.2008,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2008,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2008,Rekkehus,7,Rekkehus,7,59
4001,Porsgrunn,01.01.2008,Kjedehus inkl.atriumhus,14,Andre,10,5
4001,Porsgrunn,01.01.2008,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2008,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,12
4001,Porsgrunn,01.01.2008,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2008,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,49
4001,Porsgrunn,01.01.2008,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2008,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2008,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2008,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,31
4001,Porsgrunn,01.01.2008,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2008,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2008,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2008,Andre bygg enn boligbygg,11,Andre,10,10
4001,Porsgrunn,01.01.2009,Enebolig,1,Enebolig,1,21
4001,Porsgrunn,01.01.2009,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,4
4001,Porsgrunn,01.01.2009,Våningshus,8,Våningshus,8,0
4001,Porsgrunn,01.01.2009,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,11
4001,Porsgrunn,01.01.2009,"Tomannsbolig, horisontaldelt",13,Andre,10,0
4001,Porsgrunn,01.01.2009,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2009,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2009,Rekkehus,7,Rekkehus,7,4
4001,Porsgrunn,01.01.2009,Kjedehus inkl.atriumhus,14,Andre,10,5
4001,Porsgrunn,01.01.2009,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2009,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,8
4001,Porsgrunn,01.01.2009,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2009,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,28
4001,Porsgrunn,01.01.2009,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2009,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2009,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2009,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2009,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2009,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2009,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2009,Andre bygg enn boligbygg,11,Andre,10,0
4001,Porsgrunn,01.01.2010,Enebolig,1,Enebolig,1,27
4001,Porsgrunn,01.01.2010,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,7
4001,Porsgrunn,01.01.2010,Våningshus,8,Våningshus,8,0
