ssbid_250,År,Populasjon
21927506573250,2001-01-01,45
21927506573500,2001-01-01,113
21927506573750,2001-01-01,35
21927506574000,2001-01-01,213
21927506574250,2001-01-01,64
21927506574750,2001-01-01,62
21927506575000,2001-01-01,220
21927506575250,2001-01-01,148
21927506575500,2001-01-01,38
21927506575750,2001-01-01,131
21927506576000,2001-01-01,223
21927506576250,2001-01-01,191
21927506576500,2001-01-01,149
21927506576750,2001-01-01,93
21927506577250,2001-01-01,23
21927506577500,2001-01-01,70
21927506577750,2001-01-01,175
21927506578000,2001-01-01,77
21927506578250,2001-01-01,99
21927506578500,2001-01-01,20
21927506578750,2001-01-01,2
21927506579000,2001-01-01,4
21927506580250,2001-01-01,5
21927506580500,2001-01-01,9
21930006559750,2001-01-01,8
21930006560000,2001-01-01,2
21930006560250,2001-01-01,2
21930006560500,2001-01-01,6
