Kommune,År,Kategori,Antall
Hjartdal,2017-01-01,Faktisk bosetting,24.0
Hjartdal,2017-01-01,Vedtak om bosetting,10.0
Hjartdal,2018-01-01,Anmodning om bosetting,0.0
Hjartdal,2018-01-01,Faktisk bosetting,6.0
Hjartdal,2018-01-01,Vedtak om bosetting,0.0
Hjartdal,2019-01-01,Anmodning om bosetting,0.0
Hjartdal,2019-01-01,Faktisk bosetting,0.0
Hjartdal,2019-01-01,Vedtak om bosetting,0.0
Hjartdal,2020-01-01,Anmodning om bosetting,0.0
Hjartdal,2020-01-01,Faktisk bosetting,0.0
Hjartdal,2020-01-01,Opprinnelig anmodning,0.0
Hjartdal,2020-01-01,Vedtak om bosetting,0.0
Hjartdal,2021-01-01,Anmodning om bosetting,0.0
Hjartdal,2021-01-01,Faktisk bosetting,0.0
Hjartdal,2021-01-01,Vedtak om bosetting,0.0
Hjartdal,2022-01-01,Anmodning om bosetting,40.0
Hjartdal,2022-01-01,Faktisk bosetting,38.0
Hjartdal,2022-01-01,Vedtak om bosetting,40.0
Hjartdal,2023-01-01,Faktisk bosetting,52.0
Hjartdal,2024-01-01,Anmodning om bosetting,55.0
Hjartdal,2024-01-01,Faktisk bosetting,32.0
Hjartdal,2024-01-01,Vedtak om bosetting,30.0
Hjartdal,2025-01-01,Anmodning om bosetting,18.0
Hjartdal,2025-01-01,Faktisk bosetting,19.0
Hjartdal,2025-01-01,Opprinnelig anmodning,20.0
Hjartdal,2025-01-01,Vedtak om bosetting,20.0
Hjartdal,2026-01-01,Anmodning om bosetting,23.0
Kragerø,1995-01-01,Anmodning om bosetting,20.0
Kragerø,1995-01-01,Faktisk bosetting,0.0
Kragerø,1995-01-01,Vedtak om bosetting,20.0
Kragerø,1996-01-01,Anmodning om bosetting,0.0
Kragerø,1996-01-01,Faktisk bosetting,0.0
Kragerø,1996-01-01,Vedtak om bosetting,0.0
Kragerø,1997-01-01,Anmodning om bosetting,10.0
Kragerø,1997-01-01,Faktisk bosetting,0.0
Kragerø,1997-01-01,Vedtak om bosetting,0.0
Kragerø,1998-01-01,Anmodning om bosetting,15.0
Kragerø,1998-01-01,Faktisk bosetting,0.0
Kragerø,1998-01-01,Vedtak om bosetting,0.0
Kragerø,1999-01-01,Anmodning om bosetting,15.0
Kragerø,1999-01-01,Faktisk bosetting,0.0
Kragerø,1999-01-01,Vedtak om bosetting,15.0
Kragerø,2000-01-01,Anmodning om bosetting,20.0
Kragerø,2000-01-01,Faktisk bosetting,0.0
Kragerø,2000-01-01,Vedtak om bosetting,20.0
Kragerø,2001-01-01,Anmodning om bosetting,45.0
Kragerø,2001-01-01,Faktisk bosetting,0.0
Kragerø,2001-01-01,Vedtak om bosetting,20.0
Kragerø,2002-01-01,Anmodning om bosetting,30.0
Kragerø,2002-01-01,Faktisk bosetting,0.0
Kragerø,2002-01-01,Vedtak om bosetting,20.0
Kragerø,2003-01-01,Anmodning om bosetting,35.0
Kragerø,2003-01-01,Faktisk bosetting,0.0
Kragerø,2003-01-01,Vedtak om bosetting,30.0
Kragerø,2004-01-01,Anmodning om bosetting,20.0
Kragerø,2004-01-01,Faktisk bosetting,0.0
Kragerø,2004-01-01,Vedtak om bosetting,20.0
Kragerø,2005-01-01,Anmodning om bosetting,20.0
Kragerø,2005-01-01,Faktisk bosetting,0.0
Kragerø,2005-01-01,Vedtak om bosetting,25.0
Kragerø,2006-01-01,Anmodning om bosetting,15.0
Kragerø,2006-01-01,Faktisk bosetting,0.0
Kragerø,2006-01-01,Vedtak om bosetting,15.0
Kragerø,2007-01-01,Anmodning om bosetting,25.0
Kragerø,2007-01-01,Faktisk bosetting,0.0
Kragerø,2007-01-01,Vedtak om bosetting,25.0
Kragerø,2008-01-01,Anmodning om bosetting,25.0
Kragerø,2008-01-01,Faktisk bosetting,0.0
Kragerø,2008-01-01,Vedtak om bosetting,25.0
Kragerø,2009-01-01,Anmodning om bosetting,35.0
Kragerø,2009-01-01,Faktisk bosetting,0.0
Kragerø,2009-01-01,Vedtak om bosetting,35.0
Kragerø,2010-01-01,Anmodning om bosetting,35.0
Kragerø,2010-01-01,Faktisk bosetting,0.0
Kragerø,2010-01-01,Vedtak om bosetting,35.0
Kragerø,2011-01-01,Anmodning om bosetting,20.0
Kragerø,2011-01-01,Faktisk bosetting,0.0
Kragerø,2011-01-01,Vedtak om bosetting,35.0
Kragerø,2012-01-01,Anmodning om bosetting,40.0
Kragerø,2012-01-01,Faktisk bosetting,37.0
Kragerø,2012-01-01,Vedtak om bosetting,40.0
Kragerø,2013-01-01,Anmodning om bosetting,45.0
Kragerø,2013-01-01,Faktisk bosetting,40.0
Kragerø,2013-01-01,Vedtak om bosetting,35.0
Kragerø,2014-01-01,Anmodning om bosetting,45.0
Kragerø,2014-01-01,Faktisk bosetting,37.0
Kragerø,2014-01-01,Vedtak om bosetting,35.0
Kragerø,2015-01-01,Anmodning om bosetting,50.0
Kragerø,2015-01-01,Faktisk bosetting,49.0
Kragerø,2015-01-01,Vedtak om bosetting,50.0
Kragerø,2016-01-01,Anmodning om bosetting,60.0
Kragerø,2016-01-01,Faktisk bosetting,47.0
Kragerø,2016-01-01,Vedtak om bosetting,60.0
Kragerø,2017-01-01,Anmodning om bosetting,45.0
Kragerø,2017-01-01,Faktisk bosetting,51.0
Kragerø,2017-01-01,Vedtak om bosetting,45.0
Kragerø,2018-01-01,Anmodning om bosetting,15.0
Kragerø,2018-01-01,Faktisk bosetting,16.0
Kragerø,2018-01-01,Vedtak om bosetting,15.0
Kragerø,2019-01-01,Anmodning om bosetting,20.0
Kragerø,2019-01-01,Faktisk bosetting,20.0
Kragerø,2019-01-01,Vedtak om bosetting,20.0
Kragerø,2020-01-01,Anmodning om bosetting,11.0
Kragerø,2020-01-01,Faktisk bosetting,10.0
Kragerø,2020-01-01,Opprinnelig anmodning,17.0
Kragerø,2020-01-01,Vedtak om bosetting,17.0
Kragerø,2021-01-01,Anmodning om bosetting,13.0
Kragerø,2021-01-01,Faktisk bosetting,16.0
Kragerø,2021-01-01,Vedtak om bosetting,13.0
Kragerø,2022-01-01,Anmodning om bosetting,85.0
Kragerø,2022-01-01,Faktisk bosetting,81.0
Kragerø,2022-01-01,Vedtak om bosetting,85.0
Kragerø,2023-01-01,Faktisk bosetting,93.0
Kragerø,2024-01-01,Anmodning om bosetting,90.0
Kragerø,2024-01-01,Faktisk bosetting,51.0
Kragerø,2024-01-01,Vedtak om bosetting,50.0
Kragerø,2025-01-01,Anmodning om bosetting,25.0
Kragerø,2025-01-01,Faktisk bosetting,24.0
Kragerø,2025-01-01,Opprinnelig anmodning,40.0
Kragerø,2025-01-01,Vedtak om bosetting,35.0
Kragerø,2026-01-01,Anmodning om bosetting,45.0
Kviteseid,1995-01-01,Anmodning om bosetting,0.0
Kviteseid,1995-01-01,Faktisk bosetting,0.0
Kviteseid,1995-01-01,Vedtak om bosetting,0.0
Kviteseid,1996-01-01,Anmodning om bosetting,0.0
Kviteseid,1996-01-01,Faktisk bosetting,0.0
Kviteseid,1996-01-01,Vedtak om bosetting,0.0
Kviteseid,1997-01-01,Anmodning om bosetting,0.0
Kviteseid,1997-01-01,Faktisk bosetting,0.0
Kviteseid,1997-01-01,Vedtak om bosetting,0.0
Kviteseid,1998-01-01,Anmodning om bosetting,0.0
Kviteseid,1998-01-01,Faktisk bosetting,0.0
Kviteseid,1998-01-01,Vedtak om bosetting,0.0
Kviteseid,1999-01-01,Anmodning om bosetting,25.0
Kviteseid,1999-01-01,Faktisk bosetting,0.0
Kviteseid,1999-01-01,Vedtak om bosetting,10.0
Kviteseid,2000-01-01,Anmodning om bosetting,15.0
Kviteseid,2000-01-01,Faktisk bosetting,0.0
Kviteseid,2000-01-01,Vedtak om bosetting,0.0
Kviteseid,2001-01-01,Anmodning om bosetting,20.0
Kviteseid,2001-01-01,Faktisk bosetting,0.0
Kviteseid,2001-01-01,Vedtak om bosetting,2.0
Kviteseid,2002-01-01,Anmodning om bosetting,10.0
Kviteseid,2002-01-01,Faktisk bosetting,0.0
Kviteseid,2002-01-01,Vedtak om bosetting,0.0
Kviteseid,2003-01-01,Anmodning om bosetting,10.0
Kviteseid,2003-01-01,Faktisk bosetting,0.0
Kviteseid,2003-01-01,Vedtak om bosetting,0.0
Kviteseid,2004-01-01,Anmodning om bosetting,0.0
