Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Bamble,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.0505762594891
Bamble,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.0722304627034
Bamble,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.1934678894182
Kragerø,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.4254844663362
Kragerø,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.54779051960169
Kragerø,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",18.1899715060343
Kragerø,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",11.7497356152957
Kragerø,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",5.77563845144274
Kragerø,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.6546877431658
Kragerø,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.9284423031766
Kragerø,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.52370064212351
Kragerø,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",21.2909077253814
Drangedal,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",11.8958565270561
Drangedal,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.0332396046334
Drangedal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.17059871783343
Drangedal,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Nome,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",18.9170135120451
Nome,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.39978197398116
Nome,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",30.9514422683
Nome,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8729355142822
Nome,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.5359954892123
Nome,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",30.3976551174053
Nome,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.449101931015
