Geografi,År,Kjønn,Alder,Utdanningsnivå,Måltall,value
Hele landet,2014-2020,menn,65 år,videregående,leveår,84.416039
Hele landet,2014-2020,menn,65 år,universitet/ høgskole,leveår,86.674179
Hele landet,2014-2020,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.399529
Hele landet,2014-2020,kvinner,ved fødsel,grunnskole,leveår,-
Hele landet,2014-2020,kvinner,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2014-2020,kvinner,ved fødsel,videregående,leveår,-
Hele landet,2014-2020,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2014-2020,kvinner,30 år,alle utdanningsnivåer,leveår,84.830727
Hele landet,2014-2020,kvinner,30 år,grunnskole,leveår,82.087845
Hele landet,2014-2020,kvinner,30 år,videregående eller høyere,leveår,86.787033
Hele landet,2014-2020,kvinner,30 år,videregående,leveår,85.505455
Hele landet,2014-2020,kvinner,30 år,universitet/ høgskole,leveår,88.068604
Hele landet,2014-2020,kvinner,65 år,alle utdanningsnivåer,leveår,86.717354
Hele landet,2014-2020,kvinner,65 år,grunnskole,leveår,85.029167
Hele landet,2014-2020,kvinner,65 år,videregående eller høyere,leveår,88.390945
Hele landet,2014-2020,kvinner,65 år,videregående,leveår,87.369995
Hele landet,2014-2020,kvinner,65 år,universitet/ høgskole,leveår,89.411888
Hele landet,2015-2021,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.79921
Hele landet,2015-2021,kjønn samlet,ved fødsel,grunnskole,leveår,-
Hele landet,2015-2021,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2015-2021,kjønn samlet,ved fødsel,videregående,leveår,-
Hele landet,2015-2021,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2015-2021,kjønn samlet,30 år,alle utdanningsnivåer,leveår,83.365501
Hele landet,2015-2021,kjønn samlet,30 år,grunnskole,leveår,80.177078
Hele landet,2015-2021,kjønn samlet,30 år,videregående eller høyere,leveår,85.238113
Hele landet,2015-2021,kjønn samlet,30 år,videregående,leveår,83.843773
Hele landet,2015-2021,kjønn samlet,30 år,universitet/ høgskole,leveår,86.632462
Hele landet,2015-2021,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.597824
Hele landet,2015-2021,kjønn samlet,65 år,grunnskole,leveår,83.767807
Hele landet,2015-2021,kjønn samlet,65 år,videregående eller høyere,leveår,87.040756
Hele landet,2015-2021,kjønn samlet,65 år,videregående,leveår,85.953819
Hele landet,2015-2021,kjønn samlet,65 år,universitet/ høgskole,leveår,88.127686
Hele landet,2015-2021,menn,ved fødsel,alle utdanningsnivåer,leveår,81.128098
Hele landet,2015-2021,menn,ved fødsel,grunnskole,leveår,-
Hele landet,2015-2021,menn,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2015-2021,menn,ved fødsel,videregående,leveår,-
Hele landet,2015-2021,menn,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2015-2021,menn,30 år,alle utdanningsnivåer,leveår,81.830643
Hele landet,2015-2021,menn,30 år,grunnskole,leveår,78.285126
Hele landet,2015-2021,menn,30 år,videregående eller høyere,leveår,83.655693
Hele landet,2015-2021,menn,30 år,videregående,leveår,82.134781
Hele landet,2015-2021,menn,30 år,universitet/ høgskole,leveår,85.176605
Hele landet,2015-2021,menn,65 år,alle utdanningsnivåer,leveår,84.451881
Hele landet,2015-2021,menn,65 år,grunnskole,leveår,82.548294
Hele landet,2015-2021,menn,65 år,videregående eller høyere,leveår,85.693024
Hele landet,2015-2021,menn,65 år,videregående,leveår,84.5466
Hele landet,2015-2021,menn,65 år,universitet/ høgskole,leveår,86.839447
Hele landet,2015-2021,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.470322
Hele landet,2015-2021,kvinner,ved fødsel,grunnskole,leveår,-
Hele landet,2015-2021,kvinner,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2015-2021,kvinner,ved fødsel,videregående,leveår,-
Hele landet,2015-2021,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2015-2021,kvinner,30 år,alle utdanningsnivåer,leveår,84.90036
Hele landet,2015-2021,kvinner,30 år,grunnskole,leveår,82.069023
Hele landet,2015-2021,kvinner,30 år,videregående eller høyere,leveår,86.820541
Hele landet,2015-2021,kvinner,30 år,videregående,leveår,85.552765
Hele landet,2015-2021,kvinner,30 år,universitet/ høgskole,leveår,88.088318
Hele landet,2015-2021,kvinner,65 år,alle utdanningsnivåer,leveår,86.743774
Hele landet,2015-2021,kvinner,65 år,grunnskole,leveår,84.98732
Hele landet,2015-2021,kvinner,65 år,videregående eller høyere,leveår,88.388489
Hele landet,2015-2021,kvinner,65 år,videregående,leveår,87.361038
Hele landet,2015-2021,kvinner,65 år,universitet/ høgskole,leveår,89.415932
Hele landet,2016-2022,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.823151
Hele landet,2016-2022,kjønn samlet,ved fødsel,grunnskole,leveår,-
Hele landet,2016-2022,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2016-2022,kjønn samlet,ved fødsel,videregående,leveår,-
Hele landet,2016-2022,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2016-2022,kjønn samlet,30 år,alle utdanningsnivåer,leveår,83.384094
Hele landet,2016-2022,kjønn samlet,30 år,grunnskole,leveår,80.134796
Hele landet,2016-2022,kjønn samlet,30 år,videregående eller høyere,leveår,85.220917
Hele landet,2016-2022,kjønn samlet,30 år,videregående,leveår,83.818863
Hele landet,2016-2022,kjønn samlet,30 år,universitet/ høgskole,leveår,86.622971
Hele landet,2016-2022,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.590149
Hele landet,2016-2022,kjønn samlet,65 år,grunnskole,leveår,83.705902
Hele landet,2016-2022,kjønn samlet,65 år,videregående eller høyere,leveår,87.000717
Hele landet,2016-2022,kjønn samlet,65 år,videregående,leveår,85.915329
Hele landet,2016-2022,kjønn samlet,65 år,universitet/ høgskole,leveår,88.086105
Hele landet,2016-2022,menn,ved fødsel,alle utdanningsnivåer,leveår,81.181389
Hele landet,2016-2022,menn,ved fødsel,grunnskole,leveår,-
Hele landet,2016-2022,menn,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2016-2022,menn,ved fødsel,videregående,leveår,-
Hele landet,2016-2022,menn,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2016-2022,menn,30 år,alle utdanningsnivåer,leveår,81.878616
Hele landet,2016-2022,menn,30 år,grunnskole,leveår,78.302032
Hele landet,2016-2022,menn,30 år,videregående eller høyere,leveår,83.666458
Hele landet,2016-2022,menn,30 år,videregående,leveår,82.156097
Hele landet,2016-2022,menn,30 år,universitet/ høgskole,leveår,85.176819
Hele landet,2016-2022,menn,65 år,alle utdanningsnivåer,leveår,84.47406
Hele landet,2016-2022,menn,65 år,grunnskole,leveår,82.523224
Hele landet,2016-2022,menn,65 år,videregående eller høyere,leveår,85.683144
Hele landet,2016-2022,menn,65 år,videregående,leveår,84.563614
Hele landet,2016-2022,menn,65 år,universitet/ høgskole,leveår,86.802673
Hele landet,2016-2022,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.46492
Hele landet,2016-2022,kvinner,ved fødsel,grunnskole,leveår,-
Hele landet,2016-2022,kvinner,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2016-2022,kvinner,ved fødsel,videregående,leveår,-
Hele landet,2016-2022,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2016-2022,kvinner,30 år,alle utdanningsnivåer,leveår,84.889565
Hele landet,2016-2022,kvinner,30 år,grunnskole,leveår,81.96756
Hele landet,2016-2022,kvinner,30 år,videregående eller høyere,leveår,86.775375
Hele landet,2016-2022,kvinner,30 år,videregående,leveår,85.481621
Hele landet,2016-2022,kvinner,30 år,universitet/ høgskole,leveår,88.069122
Hele landet,2016-2022,kvinner,65 år,alle utdanningsnivåer,leveår,86.70623
