ogc_fid;SSBID0250M;pop_tot
977;19465006669000;1
978;19465006669250;6
979;19465006722000;8
980;19465006722250;31
981;19465006722500;34
982;19465006722750;12
983;19465006723000;9
984;19465006733250;12
985;19465006743750;5
986;19465006751000;19
987;19465006751250;17
988;19465006753000;2
989;19465006753250;8
990;19465006753500;8
991;19465006817000;2
992;19467506599500;9
993;19467506611500;6
994;19467506611750;41
995;19467506612000;12
996;19467506612250;20
997;19467506612500;48
998;19467506618750;25
999;19467506619500;2
1000;19467506619750;3
1001;19467506620000;4
1002;19467506620250;12
1003;19467506620500;7
1004;19467506620750;5
1005;19467506622000;3
1006;19467506622750;24
1007;19467506623000;11
1008;19467506623250;10
1009;19467506623750;3
1010;19467506624500;4
1011;19467506625000;2
1012;19467506625250;20
1013;19467506625500;29
1014;19467506625750;4
1015;19467506626000;4
1016;19467506646250;21
1017;19467506653500;3
1018;19467506653750;4
1019;19467506655750;4
1020;19467506662750;4
1021;19467506663000;7
1022;19467506666500;15
1023;19467506666750;12
1024;19467506667000;15
1025;19467506667250;11
1026;19467506667750;13
1027;19467506668000;11
1028;19467506668250;30
1029;19467506668500;9
1030;19467506668750;24
1031;19467506669000;25
1032;19467506669250;8
1033;19467506677750;3
1034;19467506678000;2
1035;19467506680750;1
1036;19467506681000;2
1037;19467506681250;6
1038;19467506722000;22
1039;19467506722250;22
1040;19467506722500;57
1041;19467506722750;52
1042;19467506723000;8
1043;19467506729250;9
1044;19467506729500;24
1045;19467506729750;15
1046;19467506733250;11
1047;19467506733500;7
1048;19467506733750;7
1049;19467506743500;2
1050;19467506743750;38
1051;19467506744000;21
1052;19467506750250;17
1053;19467506750500;15
1054;19467506750750;30
1055;19467506751000;41
1056;19467506751250;26
1057;19467506753000;11
1058;19467506753250;18
1059;19467506753500;19
1060;19467506753750;49
1061;19467506754000;16
1062;19467506784500;5
1063;19467506784750;2
1064;19467506808250;1
1065;19470006611250;6
1066;19470006611500;5
1067;19470006611750;61
1068;19470006612000;30
1069;19470006612250;10
1070;19470006612500;7
1071;19470006618500;5
1072;19470006618750;19
1073;19470006619250;11
1074;19470006619500;1
1075;19470006619750;4
1076;19470006620000;2
1077;19470006620250;14
1078;19470006620500;1
1079;19470006620750;10
1080;19470006622000;19
1081;19470006622250;4
1082;19470006622500;20
1083;19470006622750;22
1084;19470006623500;4
1085;19470006623750;5
1086;19470006624000;3
1087;19470006624250;3
1088;19470006624500;8
1089;19470006625000;3
1090;19470006625250;4
1091;19470006625500;32
1092;19470006625750;72
1093;19470006626000;65
1094;19470006626250;2
1095;19470006646500;5
1096;19470006647250;10
1097;19470006653500;1
1098;19470006654000;2
1099;19470006655750;5
1100;19470006662750;18
1101;19470006663000;6
1102;19470006663500;4
1103;19470006667750;45
1104;19470006668000;33
1105;19470006668250;21
1106;19470006668750;20
1107;19470006669000;31
1108;19470006669250;12
1109;19470006678000;4
1110;19470006679000;1
