Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Fylker,Vestland,Kontorarbeid,624.0,186.0
2025-06-01,Fylker,Vestland,Ledere,350.0,98.0
2025-06-01,Fylker,Vestland,Meglere og konsulenter,243.0,92.0
2025-06-01,Fylker,Vestland,Reiseliv og transport,883.0,390.0
2025-06-01,Fylker,Vestland,Serviceyrker og annet arbeid,948.0,446.0
2025-06-01,Fylker,Vestland,Undervisning,401.0,179.0
2025-06-01,Fylker,Østfold,Akademiske yrker,66.0,30.0
2025-06-01,Fylker,Østfold,Barne- og ungdomsarbeid,379.0,101.0
2025-06-01,Fylker,Østfold,Butikk- og salgsarbeid,710.0,122.0
2025-06-01,Fylker,Østfold,Bygg og anlegg,696.0,62.0
2025-06-01,Fylker,Østfold,"Helse, pleie og omsorg",533.0,372.0
2025-06-01,Fylker,Østfold,Industriarbeid,541.0,107.0
2025-06-01,Fylker,Østfold,Ingen yrkesbakgrunn eller uoppgitt,900.0,2.0
2025-06-01,Fylker,Østfold,Ingeniør- og ikt-fag,273.0,34.0
2025-06-01,Fylker,Østfold,"Jordbruk, skogbruk og fiske",74.0,14.0
2025-06-01,Fylker,Østfold,Kontorarbeid,606.0,58.0
2025-06-01,Fylker,Østfold,Ledere,248.0,21.0
2025-06-01,Fylker,Østfold,Meglere og konsulenter,116.0,12.0
2025-06-01,Fylker,Østfold,Reiseliv og transport,506.0,73.0
2025-06-01,Fylker,Østfold,Serviceyrker og annet arbeid,748.0,95.0
2025-06-01,Fylker,Østfold,Undervisning,192.0,67.0
2025-06-01,Fylker,Øvrige områder,Butikk- og salgsarbeid,,1.0
2025-06-01,Fylker,Øvrige områder,Bygg og anlegg,,5.0
2025-06-01,Fylker,Øvrige områder,Ingeniør- og ikt-fag,,3.0
2025-06-01,Fylker,Øvrige områder,Kontorarbeid,,2.0
2025-06-01,Fylker,Øvrige områder,Ledere,,3.0
2025-06-01,Fylker,Øvrige områder,Meglere og konsulenter,,1.0
2025-06-01,Fylker,Øvrige områder,Serviceyrker og annet arbeid,,4.0
2025-06-01,Fylker,Øvrige områder,Undervisning,,2.0
2025-06-01,Landet,Landet,Akademiske yrker,2065.0,730.0
2025-06-01,Landet,Landet,Barne- og ungdomsarbeid,4724.0,1797.0
2025-06-01,Landet,Landet,Butikk- og salgsarbeid,9357.0,4068.0
2025-06-01,Landet,Landet,Bygg og anlegg,9202.0,2608.0
2025-06-01,Landet,Landet,"Helse, pleie og omsorg",6470.0,7105.0
2025-06-01,Landet,Landet,Industriarbeid,8040.0,2330.0
2025-06-01,Landet,Landet,Ingen yrkesbakgrunn eller uoppgitt,14110.0,9.0
2025-06-01,Landet,Landet,Ingeniør- og ikt-fag,5591.0,1851.0
2025-06-01,Landet,Landet,"Jordbruk, skogbruk og fiske",1146.0,188.0
