Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Kjeldal elektro AS,989057871,,12,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Haugestøl vvs AS,980993035,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Hjallum AS,912681602,,12,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Blikkenslager lauritzen AS,984936958,,12,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,43.223,Ventilasjonsarbeid,,,,
Hegna blikk AS,985949301,,12,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.911,Blikkenslagerarbeid på tak,,,,
Seljord bil AS,963504446,,12,2100,Private aksjeselskaper mv.,,Seljord,Seljord,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Grenland autotech AS,998228115,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Norice seafood AS,987308362,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,46.381,"Engroshandel med fisk, skalldyr og bløtdyr",,,,
Carlo gavazzi AS,935651034,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler,,,,
Øberg verktøy AS,957673007,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.620,Engroshandel med maskinverktøy,,,,
N.c. nielsen AS,982410347,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",,,,
