Kommune,År (intervall),År,Kjønn,Foreldrenes utdanningsnivå,Innvandringsbakgrunn,Måltall,Antall,SortKommune
Notodden,2014-2016,2016-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),33.5,12
Notodden,2014-2016,2016-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2014-2016,2016-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.2,12
Notodden,2015-2017,2017-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.6,12
Notodden,2015-2017,2017-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.1,12
Notodden,2015-2017,2017-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2015-2017,2017-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.0,12
Notodden,2016-2018,2018-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.4,12
Notodden,2016-2018,2018-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.7,12
Notodden,2016-2018,2018-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2016-2018,2018-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.6,12
Notodden,2017-2019,2019-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.1,12
Notodden,2017-2019,2019-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.6,12
Notodden,2017-2019,2019-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2017-2019,2019-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.6,12
Notodden,2018-2020,2020-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.2,12
Notodden,2018-2020,2020-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.5,12
Notodden,2018-2020,2020-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2018-2020,2020-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.9,12
Notodden,2019-2021,2021-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.3,12
Notodden,2019-2021,2021-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.3,12
Notodden,2019-2021,2021-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2019-2021,2021-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.2,12
Notodden,2020-2022,2022-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.9,12
Notodden,2020-2022,2022-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.5,12
Notodden,2020-2022,2022-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,12
Notodden,2020-2022,2022-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),45.3,12
Notodden,2021-2023,2023-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.0,12
Notodden,2021-2023,2023-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.0,12
Notodden,2021-2023,2023-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.7,12
Notodden,2021-2023,2023-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),45.3,12
Notodden,2022-2024,2024-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.6,12
Notodden,2022-2024,2024-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.4,12
Notodden,2022-2024,2024-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.8,12
Notodden,2022-2024,2024-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.7,12
Notodden,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.8,12
Notodden,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),32.4,12
Notodden,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.6,12
