År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3814 Kragerø;53 år;;3;3
2016;3814 Kragerø;54 år;1;5;4
2016;3814 Kragerø;55 år;4;3;-1
2016;3814 Kragerø;56 år;4;2;-2
2016;3814 Kragerø;57 år;3;2;-1
2016;3814 Kragerø;58 år;1;2;1
2016;3814 Kragerø;59 år;1;3;2
2016;3814 Kragerø;6 år;2;6;4
2016;3814 Kragerø;60 år;5;3;-2
2016;3814 Kragerø;61 år;3;;-3
2016;3814 Kragerø;62 år;6;1;-5
2016;3814 Kragerø;63 år;4;1;-3
2016;3814 Kragerø;64 år;1;3;2
2016;3814 Kragerø;65 år;2;;-2
2016;3814 Kragerø;66 år;4;2;-2
2016;3814 Kragerø;67 år;4;4;0
2016;3814 Kragerø;68 år;2;7;5
2016;3814 Kragerø;69 år;4;2;-2
2016;3814 Kragerø;7 år;1;9;8
2016;3814 Kragerø;70 år;2;2;0
2016;3814 Kragerø;8 år;5;3;-2
2016;3814 Kragerø;9 år;1;4;3
2016;3815 Drangedal;0 år;;1;1
2016;3815 Drangedal;1 år;1;2;1
2016;3815 Drangedal;10 år;1;;-1
2016;3815 Drangedal;11 år;;2;2
2016;3815 Drangedal;12 år;;3;3
2016;3815 Drangedal;13 år;1;2;1
2016;3815 Drangedal;14 år;;5;5
2016;3815 Drangedal;15 år;;6;6
2016;3815 Drangedal;16 år;3;1;-2
2016;3815 Drangedal;17 år;;1;1
2016;3815 Drangedal;18 år;3;3;0
2016;3815 Drangedal;19 år;4;2;-2
2016;3815 Drangedal;2 år;1;3;2
2016;3815 Drangedal;20 år;2;5;3
2016;3815 Drangedal;21 år;5;7;2
2016;3815 Drangedal;22 år;7;5;-2
2016;3815 Drangedal;23 år;4;3;-1
2016;3815 Drangedal;24 år;6;4;-2
2016;3815 Drangedal;25 år;10;2;-8
2016;3815 Drangedal;26 år;4;4;0
2016;3815 Drangedal;27 år;3;2;-1
2016;3815 Drangedal;28 år;6;5;-1
2016;3815 Drangedal;29 år;3;4;1
