ogc_fid;SSBID250M;est_tot;emp_tot
1074;19490006706250;1;3
1075;19490006712750;1;0
1076;19490006713250;2;0
1077;19490006713500;2;0
1078;19490006716000;3;3
1079;19490006716250;1;0
1080;19490006716500;1;0
1081;19490006716750;1;2
1082;19490006730750;4;19
1083;19490006731000;1;0
1084;19490006731250;1;0
1085;19490006731500;1;1
1086;19490006732250;1;0
1087;19490006732500;1;0
1088;19490006732750;2;1
1089;19490006733250;1;0
1090;19490006734250;2;0
1091;19490006735750;1;0
1092;19490006736000;1;0
1093;19490006738750;5;6
1094;19490006739750;1;0
1095;19490006740000;3;58
1096;19490006740250;4;0
1097;19490006740750;1;0
1098;19490006741000;1;0
1099;19490006741250;1;0
1100;19490006741500;2;0
1101;19490006741750;4;1
1102;19490006742000;2;0
1103;19490006742500;1;0
1104;19490006743500;1;1
1105;19490006743750;1;0
1106;19490006744000;3;4
1107;19490006745000;2;1
1108;19490006745750;2;7
1109;19490006746000;1;0
1110;19490006746250;3;1
1111;19492506607250;1;0
1112;19492506608000;2;0
1113;19492506608250;2;1
1114;19492506608500;2;23
1115;19492506608750;1;0
1116;19492506609250;1;0
1117;19492506609750;1;0
1118;19492506610250;2;0
1119;19492506610500;1;0
1120;19492506610750;6;11
1121;19492506611000;3;2
1122;19492506611250;5;0
1123;19492506611500;11;4
1124;19492506611750;23;50
1125;19492506612000;1;1
1126;19492506612250;2;1
1127;19492506612500;4;10
1128;19492506612750;4;0
1129;19492506613000;1;0
1130;19492506617500;1;76
1131;19492506621250;5;0
1132;19492506621500;1;6
1133;19492506622000;3;16
1134;19492506622750;1;2
1135;19492506623000;5;70
1136;19492506624250;1;0
1137;19492506624750;3;0
1138;19492506625000;4;23
1139;19492506625250;107;386
1140;19492506625500;19;116
1141;19492506625750;25;2356
1142;19492506626000;27;596
1143;19492506626250;32;73
