ssbid_250,År,ant_virksomheter,ant_ansatte
21932506575500,2013-01-01,2,0
21932506575750,2013-01-01,4,13
21932506580750,2013-01-01,1,0
21935006560750,2013-01-01,1,0
21935006561250,2013-01-01,2,0
21935006562500,2013-01-01,1,0
21935006564000,2013-01-01,1,0
21935006564250,2013-01-01,1,0
21935006564500,2013-01-01,3,3
21935006564750,2013-01-01,1,1
21935006565000,2013-01-01,3,17
21935006566000,2013-01-01,3,4
21935006566250,2013-01-01,4,1
21935006566500,2013-01-01,7,30
21935006566750,2013-01-01,8,9
21935006567000,2013-01-01,8,144
21935006567250,2013-01-01,2,39
21935006567500,2013-01-01,24,122
21935006567750,2013-01-01,76,538
21935006568000,2013-01-01,40,280
21935006568250,2013-01-01,10,57
21935006568500,2013-01-01,7,4
21935006568750,2013-01-01,3,7
21935006569000,2013-01-01,19,255
21935006569250,2013-01-01,6,29
21935006569500,2013-01-01,5,1
21935006569750,2013-01-01,11,18
21935006570000,2013-01-01,8,8
21935006570250,2013-01-01,1,0
21935006570500,2013-01-01,11,24
21935006570750,2013-01-01,9,136
21935006571000,2013-01-01,13,6
21935006571250,2013-01-01,1,1
21935006572000,2013-01-01,12,40
21935006572250,2013-01-01,18,28
21935006572500,2013-01-01,7,0
21935006572750,2013-01-01,5,0
21935006573000,2013-01-01,4,1
21935006573500,2013-01-01,5,10
21935006573750,2013-01-01,2,0
21935006574000,2013-01-01,5,2
21935006574250,2013-01-01,6,6
21935006574500,2013-01-01,4,4
