Kommunenummer,Kommune,År,Husholdningstype,Antall
4024,Hjartdal,01.01.2016,Andre husholdninger,0
4024,Hjartdal,01.01.2016,Flerfamiliehusholdninger,30
4024,Hjartdal,01.01.2016,Par eller aleneforsørger med voksne barn,67
4024,Hjartdal,01.01.2016,Par med små barn,58
4024,Hjartdal,01.01.2016,Par med store barn,90
4024,Hjartdal,01.01.2016,Par uten hjemmeboende barn,169
4024,Hjartdal,01.01.2017,Aleneboende,260
4024,Hjartdal,01.01.2017,Aleneforsørger med små barn,8
4024,Hjartdal,01.01.2017,Aleneforsørger med store barn,14
4024,Hjartdal,01.01.2017,Andre husholdninger,0
4024,Hjartdal,01.01.2017,Flerfamiliehusholdninger,32
4024,Hjartdal,01.01.2017,Par eller aleneforsørger med voksne barn,67
4024,Hjartdal,01.01.2017,Par med små barn,48
4024,Hjartdal,01.01.2017,Par med store barn,87
4024,Hjartdal,01.01.2017,Par uten hjemmeboende barn,167
4024,Hjartdal,01.01.2018,Aleneboende,255
4024,Hjartdal,01.01.2018,Aleneforsørger med små barn,5
4024,Hjartdal,01.01.2018,Aleneforsørger med store barn,15
4024,Hjartdal,01.01.2018,Andre husholdninger,0
4024,Hjartdal,01.01.2018,Flerfamiliehusholdninger,33
4024,Hjartdal,01.01.2018,Par eller aleneforsørger med voksne barn,66
4024,Hjartdal,01.01.2018,Par med små barn,48
4024,Hjartdal,01.01.2018,Par med store barn,85
4024,Hjartdal,01.01.2018,Par uten hjemmeboende barn,172
4024,Hjartdal,01.01.2019,Aleneboende,258
4024,Hjartdal,01.01.2019,Aleneforsørger med små barn,3
4024,Hjartdal,01.01.2019,Aleneforsørger med store barn,15
4024,Hjartdal,01.01.2019,Andre husholdninger,0
4024,Hjartdal,01.01.2019,Flerfamiliehusholdninger,31
4024,Hjartdal,01.01.2019,Par eller aleneforsørger med voksne barn,63
4024,Hjartdal,01.01.2019,Par med små barn,51
4024,Hjartdal,01.01.2019,Par med store barn,82
4024,Hjartdal,01.01.2019,Par uten hjemmeboende barn,178
4024,Hjartdal,01.01.2020,Aleneboende,245
4024,Hjartdal,01.01.2020,Aleneforsørger med små barn,4
4024,Hjartdal,01.01.2020,Aleneforsørger med store barn,12
4024,Hjartdal,01.01.2020,Andre husholdninger,0
4024,Hjartdal,01.01.2020,Flerfamiliehusholdninger,32
4024,Hjartdal,01.01.2020,Par eller aleneforsørger med voksne barn,58
4024,Hjartdal,01.01.2020,Par med små barn,57
4024,Hjartdal,01.01.2020,Par med store barn,80
4024,Hjartdal,01.01.2020,Par uten hjemmeboende barn,185
4024,Hjartdal,01.01.2021,Aleneboende,261
4024,Hjartdal,01.01.2021,Aleneforsørger med små barn,7
4024,Hjartdal,01.01.2021,Aleneforsørger med store barn,16
4024,Hjartdal,01.01.2021,Andre husholdninger,0
4024,Hjartdal,01.01.2021,Flerfamiliehusholdninger,31
4024,Hjartdal,01.01.2021,Par eller aleneforsørger med voksne barn,63
4024,Hjartdal,01.01.2021,Par med små barn,49
4024,Hjartdal,01.01.2021,Par med store barn,74
4024,Hjartdal,01.01.2021,Par uten hjemmeboende barn,193
4024,Hjartdal,01.01.2022,Aleneboende,269
4024,Hjartdal,01.01.2022,Aleneforsørger med små barn,3
4024,Hjartdal,01.01.2022,Aleneforsørger med store barn,15
4024,Hjartdal,01.01.2022,Andre husholdninger,0
4024,Hjartdal,01.01.2022,Flerfamiliehusholdninger,35
4024,Hjartdal,01.01.2022,Par eller aleneforsørger med voksne barn,66
4024,Hjartdal,01.01.2022,Par med små barn,54
4024,Hjartdal,01.01.2022,Par med store barn,66
4024,Hjartdal,01.01.2022,Par uten hjemmeboende barn,194
4024,Hjartdal,01.01.2023,Aleneboende,260
4024,Hjartdal,01.01.2023,Aleneforsørger med små barn,8
4024,Hjartdal,01.01.2023,Aleneforsørger med store barn,16
4024,Hjartdal,01.01.2023,Andre husholdninger,0
4024,Hjartdal,01.01.2023,Flerfamiliehusholdninger,42
4024,Hjartdal,01.01.2023,Par eller aleneforsørger med voksne barn,74
4024,Hjartdal,01.01.2023,Par med små barn,51
4024,Hjartdal,01.01.2023,Par med store barn,62
4024,Hjartdal,01.01.2023,Par uten hjemmeboende barn,197
