region,alder,statistikkvariabel,år,bygningstype,value
Bamble,40-49 år,Antall personer,2024,Annen boligbygning,33.0
Bamble,40-49 år,Personer (prosent),2024,Boliger i alt,100.0
Bamble,40-49 år,Personer (prosent),2024,Enebolig,81.0
Bamble,40-49 år,Personer (prosent),2024,Tomannsbolig,8.3
Bamble,40-49 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.2
Bamble,40-49 år,Personer (prosent),2024,Boligblokk,1.5
Bamble,40-49 år,Personer (prosent),2024,Annen boligbygning,2.1
Bamble,50-66 år,Antall personer,2024,Boliger i alt,3417.0
Bamble,50-66 år,Antall personer,2024,Enebolig,2728.0
Bamble,50-66 år,Antall personer,2024,Tomannsbolig,264.0
Bamble,50-66 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",267.0
Bamble,50-66 år,Antall personer,2024,Boligblokk,93.0
Bamble,50-66 år,Antall personer,2024,Annen boligbygning,65.0
Bamble,50-66 år,Personer (prosent),2024,Boliger i alt,100.0
Bamble,50-66 år,Personer (prosent),2024,Enebolig,79.8
Bamble,50-66 år,Personer (prosent),2024,Tomannsbolig,7.7
Bamble,50-66 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.8
Bamble,50-66 år,Personer (prosent),2024,Boligblokk,2.7
Bamble,50-66 år,Personer (prosent),2024,Annen boligbygning,1.9
Bamble,67-79 år,Antall personer,2024,Boliger i alt,2241.0
Bamble,67-79 år,Antall personer,2024,Enebolig,1701.0
Bamble,67-79 år,Antall personer,2024,Tomannsbolig,137.0
Bamble,67-79 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",233.0
Bamble,67-79 år,Antall personer,2024,Boligblokk,105.0
Bamble,67-79 år,Antall personer,2024,Annen boligbygning,65.0
Bamble,67-79 år,Personer (prosent),2024,Boliger i alt,100.0
Bamble,67-79 år,Personer (prosent),2024,Enebolig,75.9
Bamble,67-79 år,Personer (prosent),2024,Tomannsbolig,6.1
Bamble,67-79 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",10.4
Bamble,67-79 år,Personer (prosent),2024,Boligblokk,4.7
Bamble,67-79 år,Personer (prosent),2024,Annen boligbygning,2.9
Bamble,80 år eller eldre,Antall personer,2024,Boliger i alt,719.0
Bamble,80 år eller eldre,Antall personer,2024,Enebolig,471.0
Bamble,80 år eller eldre,Antall personer,2024,Tomannsbolig,48.0
