region,statistikkvariabel,år,bygningstype,value
Skien,Boliger (bebodde og ubebodde),2020,Boligblokk,5159
Skien,Boliger (bebodde og ubebodde),2020,Bygning for bofellesskap,140
Skien,Boliger (bebodde og ubebodde),2020,Andre bygningstyper,909
Skien,Boliger (bebodde og ubebodde),2021,Enebolig,14176
Skien,Boliger (bebodde og ubebodde),2021,Tomannsbolig,2718
Skien,Boliger (bebodde og ubebodde),2021,"Rekkehus, kjedehus og andre småhus",3303
Skien,Boliger (bebodde og ubebodde),2021,Boligblokk,5229
Skien,Boliger (bebodde og ubebodde),2021,Bygning for bofellesskap,140
Skien,Boliger (bebodde og ubebodde),2021,Andre bygningstyper,902
Skien,Boliger (bebodde og ubebodde),2022,Enebolig,14216
Skien,Boliger (bebodde og ubebodde),2022,Tomannsbolig,2746
Skien,Boliger (bebodde og ubebodde),2022,"Rekkehus, kjedehus og andre småhus",3326
Skien,Boliger (bebodde og ubebodde),2022,Boligblokk,5366
Skien,Boliger (bebodde og ubebodde),2022,Bygning for bofellesskap,140
Skien,Boliger (bebodde og ubebodde),2022,Andre bygningstyper,873
Skien,Boliger (bebodde og ubebodde),2023,Enebolig,14244
Skien,Boliger (bebodde og ubebodde),2023,Tomannsbolig,2792
Skien,Boliger (bebodde og ubebodde),2023,"Rekkehus, kjedehus og andre småhus",3355
Skien,Boliger (bebodde og ubebodde),2023,Boligblokk,5654
Skien,Boliger (bebodde og ubebodde),2023,Bygning for bofellesskap,157
Skien,Boliger (bebodde og ubebodde),2023,Andre bygningstyper,863
Skien,Boliger (bebodde og ubebodde),2024,Enebolig,14267
Skien,Boliger (bebodde og ubebodde),2024,Tomannsbolig,2835
Skien,Boliger (bebodde og ubebodde),2024,"Rekkehus, kjedehus og andre småhus",3394
Skien,Boliger (bebodde og ubebodde),2024,Boligblokk,5759
Skien,Boliger (bebodde og ubebodde),2024,Bygning for bofellesskap,157
Skien,Boliger (bebodde og ubebodde),2024,Andre bygningstyper,858
Skien,Boliger (bebodde og ubebodde),2025,Enebolig,14285
Skien,Boliger (bebodde og ubebodde),2025,Tomannsbolig,2856
Skien,Boliger (bebodde og ubebodde),2025,"Rekkehus, kjedehus og andre småhus",3419
Skien,Boliger (bebodde og ubebodde),2025,Boligblokk,5905
Skien,Boliger (bebodde og ubebodde),2025,Bygning for bofellesskap,157
Skien,Boliger (bebodde og ubebodde),2025,Andre bygningstyper,863
Skien,Boliger (bebodde og ubebodde),2026,Enebolig,14297
Skien,Boliger (bebodde og ubebodde),2026,Tomannsbolig,2864
Skien,Boliger (bebodde og ubebodde),2026,"Rekkehus, kjedehus og andre småhus",3430
Skien,Boliger (bebodde og ubebodde),2026,Boligblokk,5912
Skien,Boliger (bebodde og ubebodde),2026,Bygning for bofellesskap,157
