ssbid_250,År,Populasjon
21915006576750,2016-01-01,87
21915006577000,2016-01-01,83
21915006577250,2016-01-01,86
21915006577750,2016-01-01,20
21915006578000,2016-01-01,90
21915006578250,2016-01-01,144
21915006578500,2016-01-01,152
21915006578750,2016-01-01,36
21915006579000,2016-01-01,123
21915006579250,2016-01-01,104
21915006579500,2016-01-01,63
21915006579750,2016-01-01,2
21915006580000,2016-01-01,1
21915006580250,2016-01-01,6
21915006580500,2016-01-01,1
21915006580750,2016-01-01,2
21915006581000,2016-01-01,3
21915006581500,2016-01-01,6
21915006582000,2016-01-01,5
21915006596000,2016-01-01,2
21917506566750,2016-01-01,27
21917506567000,2016-01-01,3
21917506567500,2016-01-01,2
21917506567750,2016-01-01,9
21917506568250,2016-01-01,6
21917506568500,2016-01-01,17
21917506568750,2016-01-01,59
21917506569000,2016-01-01,107
21917506569250,2016-01-01,217
21917506569500,2016-01-01,231
21917506570000,2016-01-01,5
21917506570500,2016-01-01,1
21917506571250,2016-01-01,3
21917506571750,2016-01-01,12
21917506572000,2016-01-01,47
21917506572250,2016-01-01,23
21917506572500,2016-01-01,82
21917506572750,2016-01-01,104
21917506573000,2016-01-01,110
21917506573250,2016-01-01,73
21917506573500,2016-01-01,139
21917506573750,2016-01-01,99
21917506574000,2016-01-01,175
21917506574250,2016-01-01,57
21917506574750,2016-01-01,63
21917506575000,2016-01-01,253
21917506575250,2016-01-01,149
21917506575500,2016-01-01,46
21917506575750,2016-01-01,145
21917506576000,2016-01-01,221
21917506576250,2016-01-01,236
21917506576500,2016-01-01,154
21917506576750,2016-01-01,76
21917506577250,2016-01-01,36
21917506577500,2016-01-01,120
21917506577750,2016-01-01,165
21917506578000,2016-01-01,96
21917506578250,2016-01-01,106
21917506578500,2016-01-01,87
21917506578750,2016-01-01,4
21917506579000,2016-01-01,5
21917506580250,2016-01-01,4
21917506580500,2016-01-01,6
21917506581500,2016-01-01,1
21917506595750,2016-01-01,1
21920006566750,2016-01-01,12
21920006567000,2016-01-01,70
21920006567250,2016-01-01,29
21920006567500,2016-01-01,13
21920006568000,2016-01-01,1
21920006568250,2016-01-01,3
21920006568500,2016-01-01,40
21920006568750,2016-01-01,204
21920006569000,2016-01-01,274
21920006569250,2016-01-01,121
21920006569500,2016-01-01,121
21920006570000,2016-01-01,3
21920006570250,2016-01-01,7
21920006570750,2016-01-01,8
21920006571250,2016-01-01,2
21920006571500,2016-01-01,2
21920006571750,2016-01-01,72
21920006572000,2016-01-01,8
21920006572250,2016-01-01,17
21920006572500,2016-01-01,15
21920006572750,2016-01-01,23
21920006573000,2016-01-01,163
21920006573250,2016-01-01,230
21920006573500,2016-01-01,103
