region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Skien (-2019),Folkemengde,2015,80-89 år,1977,2011,08825
Skien (-2019),Folkemengde,2015,90 år eller eldre,501,2011,08825
Skien (-2019),Folkemengde,2016,0 år,612,2011,08825
Skien (-2019),Folkemengde,2016,1-5 år,3128,2011,08825
Skien (-2019),Folkemengde,2016,6-12 år,4429,2011,08825
Skien (-2019),Folkemengde,2016,13-15 år,1929,2011,08825
Skien (-2019),Folkemengde,2016,16-19 år,2770,2011,08825
Skien (-2019),Folkemengde,2016,20-66 år,32930,2011,08825
Skien (-2019),Folkemengde,2016,67-79 år,6016,2011,08825
Skien (-2019),Folkemengde,2016,80-89 år,1956,2011,08825
Skien (-2019),Folkemengde,2016,90 år eller eldre,505,2011,08825
Skien (-2019),Folkemengde,2017,0 år,624,2011,08825
Skien (-2019),Folkemengde,2017,1-5 år,3162,2011,08825
Skien (-2019),Folkemengde,2017,6-12 år,4483,2011,08825
Skien (-2019),Folkemengde,2017,13-15 år,1927,2011,08825
Skien (-2019),Folkemengde,2017,16-19 år,2743,2011,08825
Skien (-2019),Folkemengde,2017,20-66 år,33134,2011,08825
Skien (-2019),Folkemengde,2017,67-79 år,6248,2011,08825
Skien (-2019),Folkemengde,2017,80-89 år,1929,2011,08825
Skien (-2019),Folkemengde,2017,90 år eller eldre,504,2011,08825
Skien (-2019),Folkemengde,2018,0 år,636,2011,08825
Skien (-2019),Folkemengde,2018,1-5 år,3213,2011,08825
Skien (-2019),Folkemengde,2018,6-12 år,4550,2011,08825
Skien (-2019),Folkemengde,2018,13-15 år,1945,2011,08825
Skien (-2019),Folkemengde,2018,16-19 år,2680,2011,08825
Skien (-2019),Folkemengde,2018,20-66 år,33305,2011,08825
Skien (-2019),Folkemengde,2018,67-79 år,6451,2011,08825
Skien (-2019),Folkemengde,2018,80-89 år,1961,2011,08825
Skien (-2019),Folkemengde,2018,90 år eller eldre,491,2011,08825
Skien (-2019),Folkemengde,2019,0 år,645,2011,08825
Skien (-2019),Folkemengde,2019,1-5 år,3267,2011,08825
Skien (-2019),Folkemengde,2019,6-12 år,4602,2011,08825
Skien (-2019),Folkemengde,2019,13-15 år,1969,2011,08825
Skien (-2019),Folkemengde,2019,16-19 år,2662,2011,08825
Skien (-2019),Folkemengde,2019,20-66 år,33461,2011,08825
Skien (-2019),Folkemengde,2019,67-79 år,6603,2011,08825
Skien (-2019),Folkemengde,2019,80-89 år,2014,2011,08825
Skien (-2019),Folkemengde,2019,90 år eller eldre,488,2011,08825
Skien (-2019),Folkemengde,2020,0 år,654,2011,08825
Skien (-2019),Folkemengde,2020,1-5 år,3323,2011,08825
Skien (-2019),Folkemengde,2020,6-12 år,4663,2011,08825
Skien (-2019),Folkemengde,2020,13-15 år,1970,2011,08825
Skien (-2019),Folkemengde,2020,16-19 år,2673,2011,08825
Skien (-2019),Folkemengde,2020,20-66 år,33595,2011,08825
Skien (-2019),Folkemengde,2020,67-79 år,6779,2011,08825
Skien (-2019),Folkemengde,2020,80-89 år,2057,2011,08825
Skien (-2019),Folkemengde,2020,90 år eller eldre,482,2011,08825
Skien (-2019),Folkemengde,2021,0 år,660,2011,08825
Skien (-2019),Folkemengde,2021,1-5 år,3378,2011,08825
Skien (-2019),Folkemengde,2021,6-12 år,4727,2011,08825
Skien (-2019),Folkemengde,2021,13-15 år,1992,2011,08825
Skien (-2019),Folkemengde,2021,16-19 år,2650,2011,08825
Skien (-2019),Folkemengde,2021,20-66 år,33730,2011,08825
Skien (-2019),Folkemengde,2021,67-79 år,6970,2011,08825
Skien (-2019),Folkemengde,2021,80-89 år,2071,2011,08825
Skien (-2019),Folkemengde,2021,90 år eller eldre,496,2011,08825
Skien (-2019),Folkemengde,2022,0 år,663,2011,08825
Skien (-2019),Folkemengde,2022,1-5 år,3422,2011,08825
Skien (-2019),Folkemengde,2022,6-12 år,4769,2011,08825
Skien (-2019),Folkemengde,2022,13-15 år,2033,2011,08825
Skien (-2019),Folkemengde,2022,16-19 år,2681,2011,08825
Skien (-2019),Folkemengde,2022,20-66 år,33809,2011,08825
Skien (-2019),Folkemengde,2022,67-79 år,7154,2011,08825
Skien (-2019),Folkemengde,2022,80-89 år,2123,2011,08825
