Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2019-01-01,Menn,0-14 år,Psykiske symptomer,"per 1000, standardisert",49.9,2,2,2
Hele landet,2019-01-01,Menn,0-14 år,Psykiske lidelser,"per 1000, standardisert",28.2,2,2,2
Hele landet,2019-01-01,Menn,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",136.8,2,5,2
Hele landet,2019-01-01,Menn,15-24 år,Psykiske symptomer,"per 1000, standardisert",82.6,2,5,2
Hele landet,2019-01-01,Menn,15-24 år,Psykiske lidelser,"per 1000, standardisert",79.1,2,5,2
Hele landet,2019-01-01,Menn,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",154.5,2,6,2
Hele landet,2019-01-01,Menn,25-44 år,Psykiske symptomer,"per 1000, standardisert",102.1,2,6,2
Hele landet,2019-01-01,Menn,25-44 år,Psykiske lidelser,"per 1000, standardisert",83.2,2,6,2
Hele landet,2019-01-01,Menn,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",143.3,2,7,2
Hele landet,2019-01-01,Menn,45-74 år,Psykiske symptomer,"per 1000, standardisert",103.6,2,7,2
Hele landet,2019-01-01,Menn,45-74 år,Psykiske lidelser,"per 1000, standardisert",60.3,2,7,2
Hele landet,2019-01-01,Menn,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",134.6,2,8,2
Hele landet,2019-01-01,Menn,75-79 år,Psykiske symptomer,"per 1000, standardisert",100.7,2,8,2
Hele landet,2019-01-01,Menn,75-79 år,Psykiske lidelser,"per 1000, standardisert",49.1,2,8,2
Hele landet,2019-01-01,Kvinner,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",182.7,3,1,2
Hele landet,2019-01-01,Kvinner,0-74 år,Psykiske symptomer,"per 1000, standardisert",127.0,3,1,2
Hele landet,2019-01-01,Kvinner,0-74 år,Psykiske lidelser,"per 1000, standardisert",87.4,3,1,2
Hele landet,2019-01-01,Kvinner,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",164.4,3,4,2
Hele landet,2019-01-01,Kvinner,0-44 år,Psykiske symptomer,"per 1000, standardisert",110.6,3,4,2
Hele landet,2019-01-01,Kvinner,0-44 år,Psykiske lidelser,"per 1000, standardisert",84.7,3,4,2
Hele landet,2019-01-01,Kvinner,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",107.1,3,3,2
Hele landet,2019-01-01,Kvinner,0-24 år,Psykiske symptomer,"per 1000, standardisert",72.1,3,3,2
Hele landet,2019-01-01,Kvinner,0-24 år,Psykiske lidelser,"per 1000, standardisert",53.4,3,3,2
Hele landet,2019-01-01,Kvinner,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",47.7,3,2,2
Hele landet,2019-01-01,Kvinner,0-14 år,Psykiske symptomer,"per 1000, standardisert",36.3,3,2,2
Hele landet,2019-01-01,Kvinner,0-14 år,Psykiske lidelser,"per 1000, standardisert",15.5,3,2,2
Hele landet,2019-01-01,Kvinner,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",184.6,3,5,2
Hele landet,2019-01-01,Kvinner,15-24 år,Psykiske symptomer,"per 1000, standardisert",119.0,3,5,2
Hele landet,2019-01-01,Kvinner,15-24 år,Psykiske lidelser,"per 1000, standardisert",102.9,3,5,2
Hele landet,2019-01-01,Kvinner,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",222.2,3,6,2
Hele landet,2019-01-01,Kvinner,25-44 år,Psykiske symptomer,"per 1000, standardisert",149.3,3,6,2
Hele landet,2019-01-01,Kvinner,25-44 år,Psykiske lidelser,"per 1000, standardisert",116.5,3,6,2
Hele landet,2019-01-01,Kvinner,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",210.3,3,7,2
Hele landet,2019-01-01,Kvinner,45-74 år,Psykiske symptomer,"per 1000, standardisert",151.9,3,7,2
Hele landet,2019-01-01,Kvinner,45-74 år,Psykiske lidelser,"per 1000, standardisert",91.3,3,7,2
Hele landet,2019-01-01,Kvinner,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",206.1,3,8,2
Hele landet,2019-01-01,Kvinner,75-79 år,Psykiske symptomer,"per 1000, standardisert",151.3,3,8,2
Hele landet,2019-01-01,Kvinner,75-79 år,Psykiske lidelser,"per 1000, standardisert",82.2,3,8,2
Hele landet,2020-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",160.4,1,1,2
Hele landet,2020-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",111.1,1,1,2
Hele landet,2020-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",77.6,1,1,2
Hele landet,2020-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",148.0,1,4,2
Hele landet,2020-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",98.3,1,4,2
Hele landet,2020-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",77.9,1,4,2
Hele landet,2020-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",105.5,1,3,2
Hele landet,2020-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",69.3,1,3,2
Hele landet,2020-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",53.6,1,3,2
Hele landet,2020-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",64.0,1,2,2
Hele landet,2020-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",46.4,1,2,2
Hele landet,2020-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",23.8,1,2,2
Hele landet,2020-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",159.6,1,5,2
Hele landet,2020-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",99.0,1,5,2
Hele landet,2020-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",92.6,1,5,2
Hele landet,2020-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",191.2,1,6,2
Hele landet,2020-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",127.7,1,6,2
Hele landet,2020-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",102.6,1,6,2
Hele landet,2020-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",179.3,1,7,2
