Kommune,Forbrukergruppe,År,Verdi
Nome,Sekundærnæringer,2023,26.0
Nome,Tertiærnæringer,2023,19.3
Notodden,Boliger,2023,95.7
Notodden,Husholdninger,2023,98.9
Notodden,Hytter og fritidshus,2023,3.2
Notodden,I alt,2023,184.0
Notodden,Primærnæringer,2023,0.8
Notodden,Sekundærnæringer,2023,24.7
Notodden,Tertiærnæringer,2023,59.6
Porsgrunn,Boliger,2023,257.3
Porsgrunn,Husholdninger,2023,262.7
Porsgrunn,Hytter og fritidshus,2023,5.5
Porsgrunn,I alt,2023,1915.4
Porsgrunn,Primærnæringer,2023,0.6
Porsgrunn,Sekundærnæringer,2023,1521.5
Porsgrunn,Tertiærnæringer,2023,130.5
Seljord,Boliger,2023,22.6
Seljord,Husholdninger,2023,26.5
Seljord,Hytter og fritidshus,2023,3.9
Seljord,I alt,2023,48.6
Seljord,Primærnæringer,2023,0.3
Seljord,Sekundærnæringer,2023,4.2
Seljord,Tertiærnæringer,2023,17.5
Siljan,Boliger,2023,16.8
Siljan,Husholdninger,2023,17.6
Siljan,Hytter og fritidshus,2023,0.8
Siljan,I alt,2023,24.0
Siljan,Primærnæringer,2023,0.5
Siljan,Sekundærnæringer,2023,1.6
Siljan,Tertiærnæringer,2023,4.3
Skien,Boliger,2023,383.6
Skien,Husholdninger,2023,385.2
Skien,Hytter og fritidshus,2023,1.6
Skien,I alt,2023,666.7
Skien,Primærnæringer,2023,2.5
Skien,Sekundærnæringer,2023,68.8
Skien,Tertiærnæringer,2023,210.2
Tinn,Boliger,2023,53.8
Tinn,Husholdninger,2023,81.3
Tinn,Hytter og fritidshus,2023,27.5
Tinn,I alt,2023,269.8
Tinn,Primærnæringer,2023,1.0
Tinn,Sekundærnæringer,2023,120.7
Tinn,Tertiærnæringer,2023,66.8
Tokke,Boliger,2023,20.6
Tokke,Husholdninger,2023,26.6
Tokke,Hytter og fritidshus,2023,6.0
Tokke,I alt,2023,45.6
Tokke,Primærnæringer,2023,0.2
Tokke,Sekundærnæringer,2023,6.0
Tokke,Tertiærnæringer,2023,12.9
Vinje,Boliger,2023,32.0
Vinje,Husholdninger,2023,77.9
Vinje,Hytter og fritidshus,2023,45.9
Vinje,I alt,2023,120.3
Vinje,Primærnæringer,2023,0.8
Vinje,Sekundærnæringer,2023,12.7
Vinje,Tertiærnæringer,2023,28.9
Bamble,Boliger,2024,106.8
Bamble,Husholdninger,2024,118.1
Bamble,Hytter og fritidshus,2024,11.3
Bamble,I alt,2024,1459.7
Bamble,Primærnæringer,2024,0.3
Bamble,Sekundærnæringer,2024,1281.8
Bamble,Tertiærnæringer,2024,59.6
Drangedal,Boliger,2024,29.1
Drangedal,Husholdninger,2024,38.1
Drangedal,Hytter og fritidshus,2024,9.0
Drangedal,I alt,2024,52.3
Drangedal,Primærnæringer,2024,1.7
Drangedal,Sekundærnæringer,2024,1.3
Drangedal,Tertiærnæringer,2024,11.3
Fyresdal,Boliger,2024,9.3
Fyresdal,Husholdninger,2024,12.2
Fyresdal,Hytter og fritidshus,2024,2.9
Fyresdal,I alt,2024,22.1
Fyresdal,Primærnæringer,2024,0.2
Fyresdal,Sekundærnæringer,2024,4.3
Fyresdal,Tertiærnæringer,2024,5.4
Hjartdal,Boliger,2024,12.4
Hjartdal,Husholdninger,2024,22.8
Hjartdal,Hytter og fritidshus,2024,10.4
Hjartdal,I alt,2024,30.7
Hjartdal,Primærnæringer,2024,0.7
Hjartdal,Sekundærnæringer,2024,1.6
Hjartdal,Tertiærnæringer,2024,5.7
Kragerø,Boliger,2024,74.6
Kragerø,Husholdninger,2024,93.3
Kragerø,Hytter og fritidshus,2024,18.7
Kragerø,I alt,2024,227.1
Kragerø,Primærnæringer,2024,2.2
Kragerø,Sekundærnæringer,2024,92.6
Kragerø,Tertiærnæringer,2024,39.0
Kviteseid,Boliger,2024,20.3
Kviteseid,Husholdninger,2024,28.9
Kviteseid,Hytter og fritidshus,2024,8.6
Kviteseid,I alt,2024,43.8
Kviteseid,Primærnæringer,2024,0.2
Kviteseid,Sekundærnæringer,2024,2.2
Kviteseid,Tertiærnæringer,2024,12.5
Midt-Telemark,Boliger,2024,82.8
Midt-Telemark,Husholdninger,2024,88.5
Midt-Telemark,Hytter og fritidshus,2024,5.8
Midt-Telemark,I alt,2024,145.5
Midt-Telemark,Primærnæringer,2024,6.2
Midt-Telemark,Sekundærnæringer,2024,9.6
Midt-Telemark,Tertiærnæringer,2024,41.1
Nissedal,Boliger,2024,11.1
Nissedal,Husholdninger,2024,25.9
Nissedal,Hytter og fritidshus,2024,14.8
Nissedal,I alt,2024,34.7
Nissedal,Primærnæringer,2024,0.0
Nissedal,Sekundærnæringer,2024,2.8
Nissedal,Tertiærnæringer,2024,6.0
Nome,Boliger,2024,50.6
Nome,Husholdninger,2024,51.5
Nome,Hytter og fritidshus,2024,0.9
Nome,I alt,2024,99.9
Nome,Primærnæringer,2024,1.0
Nome,Sekundærnæringer,2024,28.4
Nome,Tertiærnæringer,2024,19.0
Notodden,Boliger,2024,99.1
Notodden,Husholdninger,2024,102.5
Notodden,Hytter og fritidshus,2024,3.3
Notodden,I alt,2024,185.6
Notodden,Primærnæringer,2024,0.7
Notodden,Sekundærnæringer,2024,24.7
Notodden,Tertiærnæringer,2024,57.7
Porsgrunn,Boliger,2024,264.0
Porsgrunn,Husholdninger,2024,269.5
Porsgrunn,Hytter og fritidshus,2024,5.6
Porsgrunn,I alt,2024,2627.2
Porsgrunn,Primærnæringer,2024,0.6
Porsgrunn,Sekundærnæringer,2024,2226.4
Porsgrunn,Tertiærnæringer,2024,130.7
Seljord,Boliger,2024,23.3
Seljord,Husholdninger,2024,27.4
Seljord,Hytter og fritidshus,2024,4.1
Seljord,I alt,2024,49.2
Seljord,Primærnæringer,2024,0.3
Seljord,Sekundærnæringer,2024,3.1
Seljord,Tertiærnæringer,2024,18.4
Siljan,Boliger,2024,17.5
Siljan,Husholdninger,2024,18.3
Siljan,Hytter og fritidshus,2024,0.8
Siljan,I alt,2024,24.1
Siljan,Primærnæringer,2024,0.6
Siljan,Sekundærnæringer,2024,1.5
Siljan,Tertiærnæringer,2024,3.7
Skien,Boliger,2024,395.2
Skien,Husholdninger,2024,397.0
Skien,Hytter og fritidshus,2024,1.8
Skien,I alt,2024,675.0
Skien,Primærnæringer,2024,2.6
Skien,Sekundærnæringer,2024,68.6
Skien,Tertiærnæringer,2024,206.9
Tinn,Boliger,2024,53.4
Tinn,Husholdninger,2024,81.5
Tinn,Hytter og fritidshus,2024,28.1
Tinn,I alt,2024,280.0
Tinn,Primærnæringer,2024,9.0
Tinn,Sekundærnæringer,2024,110.2
Tinn,Tertiærnæringer,2024,79.3
Tokke,Boliger,2024,20.7
Tokke,Husholdninger,2024,26.4
Tokke,Hytter og fritidshus,2024,5.8
Tokke,I alt,2024,44.8
Tokke,Primærnæringer,2024,0.3
Tokke,Sekundærnæringer,2024,5.1
Tokke,Tertiærnæringer,2024,13.0
Vinje,Boliger,2024,32.7
Vinje,Husholdninger,2024,79.0
Vinje,Hytter og fritidshus,2024,46.3
Vinje,I alt,2024,120.3
Vinje,Primærnæringer,2024,0.7
Vinje,Sekundærnæringer,2024,10.4
Vinje,Tertiærnæringer,2024,30.2
Bamble,Boliger,2025,103.9
Bamble,Husholdninger,2025,114.6
Bamble,Hytter og fritidshus,2025,10.8
Bamble,I alt,2025,1281.5
Bamble,Primærnæringer,2025,0.3
Bamble,Sekundærnæringer,2025,1110.6
Bamble,Tertiærnæringer,2025,56.0
Drangedal,Boliger,2025,28.8
Drangedal,Husholdninger,2025,37.5
Drangedal,Hytter og fritidshus,2025,8.6
Drangedal,I alt,2025,51.9
Drangedal,Primærnæringer,2025,1.5
Drangedal,Sekundærnæringer,2025,1.5
Drangedal,Tertiærnæringer,2025,11.4
Fyresdal,Boliger,2025,9.2
Fyresdal,Husholdninger,2025,12.0
Fyresdal,Hytter og fritidshus,2025,2.8
Fyresdal,I alt,2025,23.1
Fyresdal,Primærnæringer,2025,0.2
Fyresdal,Sekundærnæringer,2025,5.7
Fyresdal,Tertiærnæringer,2025,5.2
Hjartdal,Boliger,2025,12.1
Hjartdal,Husholdninger,2025,21.9
Hjartdal,Hytter og fritidshus,2025,9.8
Hjartdal,I alt,2025,29.3
Hjartdal,Primærnæringer,2025,0.3
Hjartdal,Sekundærnæringer,2025,1.6
Hjartdal,Tertiærnæringer,2025,5.5
Kragerø,Boliger,2025,71.8
Kragerø,Husholdninger,2025,89.7
Kragerø,Hytter og fritidshus,2025,17.9
Kragerø,I alt,2025,212.6
Kragerø,Primærnæringer,2025,2.5
Kragerø,Sekundærnæringer,2025,82.6
Kragerø,Tertiærnæringer,2025,37.7
Kviteseid,Boliger,2025,20.0
Kviteseid,Husholdninger,2025,28.4
Kviteseid,Hytter og fritidshus,2025,8.4
Kviteseid,I alt,2025,42.6
Kviteseid,Primærnæringer,2025,0.3
Kviteseid,Sekundærnæringer,2025,2.2
Kviteseid,Tertiærnæringer,2025,11.7
Midt-Telemark,Boliger,2025,80.9
Midt-Telemark,Husholdninger,2025,86.4
Midt-Telemark,Hytter og fritidshus,2025,5.5
Midt-Telemark,I alt,2025,141.9
Midt-Telemark,Primærnæringer,2025,5.6
Midt-Telemark,Sekundærnæringer,2025,10.4
Midt-Telemark,Tertiærnæringer,2025,39.4
Nissedal,Boliger,2025,11.1
