Kommune,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKjonn,SortKommune
Bamble,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.8,2,3
Bamble,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,81.6,3,3
Bamble,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.9,2,3
Bamble,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,81.9,3,3
Bamble,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.9,2,3
Bamble,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,3
Bamble,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.0,2,3
Bamble,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.4,3,3
Bamble,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.1,2,3
Bamble,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.0,3,3
Bamble,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.4,2,3
Bamble,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.1,3,3
Bamble,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.5,2,3
Bamble,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,3
Bamble,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,3
Bamble,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.1,3,3
Bamble,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,3
Bamble,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,3
Bamble,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.5,2,3
Bamble,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.7,3,3
Bamble,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.6,2,3
Bamble,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.7,3,3
Bamble,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.0,2,3
Bamble,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,3
Bamble,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.5,2,3
Bamble,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,3
Bamble,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.2,2,3
Bamble,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,3
Bamble,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.5,2,3
Bamble,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.3,3,3
Kragerø,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.0,2,7
Kragerø,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.4,3,7
Kragerø,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.3,2,7
Kragerø,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.0,3,7
Kragerø,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.5,2,7
Kragerø,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,7
Kragerø,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.2,2,7
Kragerø,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.5,3,7
Kragerø,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.7,2,7
Kragerø,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,7
Kragerø,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.6,2,7
Kragerø,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.9,3,7
Kragerø,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.2,2,7
Kragerø,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.7,3,7
Kragerø,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.4,2,7
Kragerø,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.0,3,7
Kragerø,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.2,2,7
Kragerø,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,7
Kragerø,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.9,2,7
Kragerø,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,7
Kragerø,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.8,2,7
Kragerø,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.1,3,7
Kragerø,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.1,2,7
