Kommunenummer,Kommune,År,Husholdningsstørrelse,Etterspørsel
4012,Bamble,2037-01-01,5,254
4012,Bamble,2037-01-01,6+,73
4012,Bamble,2038-01-01,1,2935
4012,Bamble,2038-01-01,2,2495
4012,Bamble,2038-01-01,3,783
4012,Bamble,2038-01-01,4,710
4012,Bamble,2038-01-01,5,253
4012,Bamble,2038-01-01,6+,73
4012,Bamble,2039-01-01,1,2942
4012,Bamble,2039-01-01,2,2499
4012,Bamble,2039-01-01,3,784
4012,Bamble,2039-01-01,4,709
4012,Bamble,2039-01-01,5,252
4012,Bamble,2039-01-01,6+,72
4012,Bamble,2040-01-01,1,2948
4012,Bamble,2040-01-01,2,2503
4012,Bamble,2040-01-01,3,783
4012,Bamble,2040-01-01,4,707
4012,Bamble,2040-01-01,5,251
4012,Bamble,2040-01-01,6+,72
4012,Bamble,2041-01-01,1,2952
4012,Bamble,2041-01-01,2,2506
4012,Bamble,2041-01-01,3,783
4012,Bamble,2041-01-01,4,707
4012,Bamble,2041-01-01,5,251
4012,Bamble,2041-01-01,6+,72
4012,Bamble,2042-01-01,1,2955
4012,Bamble,2042-01-01,2,2509
4012,Bamble,2042-01-01,3,783
4012,Bamble,2042-01-01,4,705
4012,Bamble,2042-01-01,5,250
4012,Bamble,2042-01-01,6+,72
4012,Bamble,2043-01-01,1,2961
4012,Bamble,2043-01-01,2,2513
4012,Bamble,2043-01-01,3,782
4012,Bamble,2043-01-01,4,702
4012,Bamble,2043-01-01,5,248
4012,Bamble,2043-01-01,6+,71
4012,Bamble,2044-01-01,1,2960
4012,Bamble,2044-01-01,2,2514
4012,Bamble,2044-01-01,3,782
4012,Bamble,2044-01-01,4,701
4012,Bamble,2044-01-01,5,248
4012,Bamble,2044-01-01,6+,71
4012,Bamble,2045-01-01,1,2968
4012,Bamble,2045-01-01,2,2515
4012,Bamble,2045-01-01,3,780
4012,Bamble,2045-01-01,4,698
4012,Bamble,2045-01-01,5,247
4012,Bamble,2045-01-01,6+,71
4012,Bamble,2046-01-01,1,2971
4012,Bamble,2046-01-01,2,2516
4012,Bamble,2046-01-01,3,780
4012,Bamble,2046-01-01,4,697
4012,Bamble,2046-01-01,5,247
4012,Bamble,2046-01-01,6+,71
4012,Bamble,2047-01-01,1,2978
4012,Bamble,2047-01-01,2,2515
4012,Bamble,2047-01-01,3,778
4012,Bamble,2047-01-01,4,696
4012,Bamble,2047-01-01,5,246
4012,Bamble,2047-01-01,6+,71
4012,Bamble,2048-01-01,1,2982
4012,Bamble,2048-01-01,2,2517
4012,Bamble,2048-01-01,3,777
4012,Bamble,2048-01-01,4,694
4012,Bamble,2048-01-01,5,246
4012,Bamble,2048-01-01,6+,71
4012,Bamble,2049-01-01,1,2988
4012,Bamble,2049-01-01,2,2516
4012,Bamble,2049-01-01,3,775
4012,Bamble,2049-01-01,4,691
4012,Bamble,2049-01-01,5,245
4012,Bamble,2049-01-01,6+,71
4012,Bamble,2050-01-01,1,2993
4012,Bamble,2050-01-01,2,2517
4012,Bamble,2050-01-01,3,773
4012,Bamble,2050-01-01,4,689
4012,Bamble,2050-01-01,5,244
4012,Bamble,2050-01-01,6+,71
4014,Kragerø,2026-01-01,1,1952
4014,Kragerø,2026-01-01,2,1789
4014,Kragerø,2026-01-01,3,585
4014,Kragerø,2026-01-01,4,515
4014,Kragerø,2026-01-01,5,220
4014,Kragerø,2026-01-01,6+,64
4014,Kragerø,2027-01-01,1,1969
4014,Kragerø,2027-01-01,2,1794
4014,Kragerø,2027-01-01,3,582
4014,Kragerø,2027-01-01,4,512
4014,Kragerø,2027-01-01,5,219
4014,Kragerø,2027-01-01,6+,64
4014,Kragerø,2028-01-01,1,1985
4014,Kragerø,2028-01-01,2,1798
4014,Kragerø,2028-01-01,3,579
4014,Kragerø,2028-01-01,4,510
4014,Kragerø,2028-01-01,5,219
4014,Kragerø,2028-01-01,6+,64
4014,Kragerø,2029-01-01,1,2004
4014,Kragerø,2029-01-01,2,1809
4014,Kragerø,2029-01-01,3,575
4014,Kragerø,2029-01-01,4,505
4014,Kragerø,2029-01-01,5,217
4014,Kragerø,2029-01-01,6+,63
4014,Kragerø,2030-01-01,1,2023
4014,Kragerø,2030-01-01,2,1818
4014,Kragerø,2030-01-01,3,572
4014,Kragerø,2030-01-01,4,502
4014,Kragerø,2030-01-01,5,216
4014,Kragerø,2030-01-01,6+,63
4014,Kragerø,2031-01-01,1,2036
4014,Kragerø,2031-01-01,2,1825
4014,Kragerø,2031-01-01,3,569
4014,Kragerø,2031-01-01,4,500
4014,Kragerø,2031-01-01,5,216
4014,Kragerø,2031-01-01,6+,63
4014,Kragerø,2032-01-01,1,2046
4014,Kragerø,2032-01-01,2,1835
4014,Kragerø,2032-01-01,3,567
4014,Kragerø,2032-01-01,4,497
4014,Kragerø,2032-01-01,5,215
4014,Kragerø,2032-01-01,6+,63
4014,Kragerø,2033-01-01,1,2053
4014,Kragerø,2033-01-01,2,1842
4014,Kragerø,2033-01-01,3,563
4014,Kragerø,2033-01-01,4,493
4014,Kragerø,2033-01-01,5,214
4014,Kragerø,2033-01-01,6+,63
4014,Kragerø,2034-01-01,1,2063
4014,Kragerø,2034-01-01,2,1846
4014,Kragerø,2034-01-01,3,562
4014,Kragerø,2034-01-01,4,491
4014,Kragerø,2034-01-01,5,214
4014,Kragerø,2034-01-01,6+,63
4014,Kragerø,2035-01-01,1,2068
4014,Kragerø,2035-01-01,2,1848
4014,Kragerø,2035-01-01,3,560
4014,Kragerø,2035-01-01,4,491
4014,Kragerø,2035-01-01,5,214
4014,Kragerø,2035-01-01,6+,63
4014,Kragerø,2036-01-01,1,2077
4014,Kragerø,2036-01-01,2,1853
4014,Kragerø,2036-01-01,3,558
4014,Kragerø,2036-01-01,4,488
4014,Kragerø,2036-01-01,5,213
4014,Kragerø,2036-01-01,6+,63
4014,Kragerø,2037-01-01,1,2082
4014,Kragerø,2037-01-01,2,1858
4014,Kragerø,2037-01-01,3,557
4014,Kragerø,2037-01-01,4,486
4014,Kragerø,2037-01-01,5,212
4014,Kragerø,2037-01-01,6+,63
4014,Kragerø,2038-01-01,1,2083
4014,Kragerø,2038-01-01,2,1858
4014,Kragerø,2038-01-01,3,556
4014,Kragerø,2038-01-01,4,486
4014,Kragerø,2038-01-01,5,212
4014,Kragerø,2038-01-01,6+,63
4014,Kragerø,2039-01-01,1,2083
4014,Kragerø,2039-01-01,2,1859
4014,Kragerø,2039-01-01,3,554
4014,Kragerø,2039-01-01,4,485
4014,Kragerø,2039-01-01,5,212
4014,Kragerø,2039-01-01,6+,63
4014,Kragerø,2040-01-01,1,2089
