municipality_code,municipality_name,year,household_size,housing_demand
4014,Kragerø,2029,SIZE_2,1809
4014,Kragerø,2029,SIZE_3,575
4014,Kragerø,2029,SIZE_4,505
4014,Kragerø,2029,SIZE_5,217
4014,Kragerø,2029,SIZE_6_INF,63
4014,Kragerø,2030,SIZE_1,2023
4014,Kragerø,2030,SIZE_2,1818
4014,Kragerø,2030,SIZE_3,572
4014,Kragerø,2030,SIZE_4,502
4014,Kragerø,2030,SIZE_5,216
4014,Kragerø,2030,SIZE_6_INF,63
4014,Kragerø,2031,SIZE_1,2036
4014,Kragerø,2031,SIZE_2,1825
4014,Kragerø,2031,SIZE_3,569
4014,Kragerø,2031,SIZE_4,500
4014,Kragerø,2031,SIZE_5,216
4014,Kragerø,2031,SIZE_6_INF,63
4014,Kragerø,2032,SIZE_1,2046
4014,Kragerø,2032,SIZE_2,1835
4014,Kragerø,2032,SIZE_3,567
4014,Kragerø,2032,SIZE_4,497
4014,Kragerø,2032,SIZE_5,215
4014,Kragerø,2032,SIZE_6_INF,63
4014,Kragerø,2033,SIZE_1,2053
4014,Kragerø,2033,SIZE_2,1842
4014,Kragerø,2033,SIZE_3,563
4014,Kragerø,2033,SIZE_4,493
