Kommunenummer,Geografi,År,Alder,Innvandringsbakgrunn,Andel
4024,Hjartdal,2021-01-01,alle aldre,innvandrere,16.6666666666667
4024,Hjartdal,2021-01-01,alle aldre,totalt,5.80939947780679
4024,Hjartdal,2022-01-01,alle aldre,innvandrere,19.0082644628099
4024,Hjartdal,2022-01-01,alle aldre,totalt,6.00522193211488
4024,Hjartdal,2023-01-01,alle aldre,innvandrere,25.503355704698
4024,Hjartdal,2023-01-01,alle aldre,totalt,6.54265554842848
4024,Hjartdal,2024-01-01,alle aldre,innvandrere,29.8969072164948
4024,Hjartdal,2024-01-01,alle aldre,totalt,7.22741433021807
4026,Tinn,2015-01-01,alle aldre,innvandrere,
4026,Tinn,2015-01-01,alle aldre,totalt,6.76992690567351
4026,Tinn,2016-01-01,alle aldre,innvandrere,
4026,Tinn,2016-01-01,alle aldre,totalt,6.35113972507395
4026,Tinn,2017-01-01,alle aldre,innvandrere,
4026,Tinn,2017-01-01,alle aldre,totalt,5.83609994757994
4026,Tinn,2018-01-01,alle aldre,innvandrere,
4026,Tinn,2018-01-01,alle aldre,totalt,6.43295354951797
4026,Tinn,2019-01-01,alle aldre,innvandrere,
4026,Tinn,2019-01-01,alle aldre,totalt,6.60142348754448
4026,Tinn,2020-01-01,alle aldre,innvandrere,
4026,Tinn,2020-01-01,alle aldre,totalt,5.9441826748822
4026,Tinn,2021-01-01,alle aldre,innvandrere,13.3545310015898
4026,Tinn,2021-01-01,alle aldre,totalt,5.22923955072731
4026,Tinn,2022-01-01,alle aldre,innvandrere,
4026,Tinn,2022-01-01,alle aldre,totalt,4.75568817605371
4026,Tinn,2023-01-01,alle aldre,innvandrere,15.6918687589158
4026,Tinn,2023-01-01,alle aldre,totalt,5.23094045631608
4026,Tinn,2024-01-01,alle aldre,innvandrere,
4026,Tinn,2024-01-01,alle aldre,totalt,4.57079152731327
4028,Kviteseid,2015-01-01,alle aldre,innvandrere,
4028,Kviteseid,2015-01-01,alle aldre,totalt,6.09243697478992
4028,Kviteseid,2016-01-01,alle aldre,innvandrere,
4028,Kviteseid,2016-01-01,alle aldre,totalt,5.76114381833474
4028,Kviteseid,2017-01-01,alle aldre,innvandrere,
4028,Kviteseid,2017-01-01,alle aldre,totalt,5.78616352201258
4028,Kviteseid,2018-01-01,alle aldre,innvandrere,
4028,Kviteseid,2018-01-01,alle aldre,totalt,5.02983802216539
4028,Kviteseid,2019-01-01,alle aldre,innvandrere,
4028,Kviteseid,2019-01-01,alle aldre,totalt,4.76393024245002
4028,Kviteseid,2020-01-01,alle aldre,innvandrere,
4028,Kviteseid,2020-01-01,alle aldre,totalt,5.45609548167093
4028,Kviteseid,2021-01-01,alle aldre,innvandrere,6.41711229946524
4028,Kviteseid,2021-01-01,alle aldre,totalt,4.8
4028,Kviteseid,2022-01-01,alle aldre,innvandrere,5.74162679425837
4028,Kviteseid,2022-01-01,alle aldre,totalt,4.06538139145013
4028,Kviteseid,2023-01-01,alle aldre,innvandrere,6.34920634920635
4028,Kviteseid,2023-01-01,alle aldre,totalt,4.76190476190476
4028,Kviteseid,2024-01-01,alle aldre,innvandrere,11.8055555555556
4028,Kviteseid,2024-01-01,alle aldre,totalt,5.15164104694641
4030,Nissedal,2015-01-01,alle aldre,innvandrere,12.0689655172414
4030,Nissedal,2015-01-01,alle aldre,totalt,7.2505384063173
4030,Nissedal,2016-01-01,alle aldre,innvandrere,14.3939393939394
4030,Nissedal,2016-01-01,alle aldre,totalt,5.46369518332135
4030,Nissedal,2017-01-01,alle aldre,innvandrere,21.4285714285714
4030,Nissedal,2017-01-01,alle aldre,totalt,6.51420651420651
4030,Nissedal,2018-01-01,alle aldre,innvandrere,23.9520958083832
4030,Nissedal,2018-01-01,alle aldre,totalt,7.4585635359116
4030,Nissedal,2019-01-01,alle aldre,innvandrere,21.8934911242604
4030,Nissedal,2019-01-01,alle aldre,totalt,6.85121107266436
4030,Nissedal,2020-01-01,alle aldre,innvandrere,23.7804878048781
4030,Nissedal,2020-01-01,alle aldre,totalt,6.24123422159888
4030,Nissedal,2021-01-01,alle aldre,innvandrere,18.6666666666667
4030,Nissedal,2021-01-01,alle aldre,totalt,5.36723163841808
4030,Nissedal,2022-01-01,alle aldre,innvandrere,15.8940397350993
4030,Nissedal,2022-01-01,alle aldre,totalt,4.37275985663082
