stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:35538,Mo,59.482087,7.842672,,,NSR:StopPlace:20350,,700,
NSR:Quay:35539,Mo,59.482174,7.842227,,,NSR:StopPlace:20350,,700,
NSR:Quay:35540,Høensbakken,59.015198,9.605557,,,NSR:StopPlace:20351,,700,
NSR:Quay:35541,Høensbakken,59.015230,9.605227,,,NSR:StopPlace:20351,,700,
NSR:Quay:35542,Gareveien,58.962902,9.150519,,,NSR:StopPlace:20352,,700,
NSR:Quay:35543,Mo,58.990326,9.401370,,,NSR:StopPlace:20353,,700,
NSR:Quay:35544,Mo,58.990353,9.401161,,,NSR:StopPlace:20353,,700,
NSR:Quay:35545,Gareveien,58.962850,9.150572,,,NSR:StopPlace:20352,,700,
NSR:Quay:35546,Høenskrysset,59.015743,9.609972,,,NSR:StopPlace:20354,,700,
NSR:Quay:35547,Høenskrysset,59.015656,9.609657,,,NSR:StopPlace:20354,,700,
NSR:Quay:35548,Mo Øverbø,58.893565,9.270495,,,NSR:StopPlace:20355,,700,
NSR:Quay:35549,Garvikstrondi camping,59.431788,8.738626,,,NSR:StopPlace:20356,,700,
NSR:Quay:35550,Garvikstrondi camping,59.431835,8.739096,,,NSR:StopPlace:20356,,700,
NSR:Quay:35551,Høgefoss,58.952953,8.511597,,,NSR:StopPlace:20357,,700,
