Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Trøndelag Trööndelage,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",86.1,3,1,13
Trøndelag Trööndelage,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",25.5,3,2,13
Trøndelag Trööndelage,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",178.0,3,3,13
Trøndelag Trööndelage,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",400.9,3,4,13
Nordland Nordlánnda,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",100.9,1,1,9
Nordland Nordlánnda,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",27.1,1,2,9
Nordland Nordlánnda,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",215.3,1,3,9
Nordland Nordlánnda,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",446.2,1,4,9
Nordland Nordlánnda,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",109.4,2,1,9
Nordland Nordlánnda,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",25.0,2,2,9
Nordland Nordlánnda,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",241.6,2,3,9
Nordland Nordlánnda,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",474.4,2,4,9
Nordland Nordlánnda,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",92.2,3,1,9
Nordland Nordlánnda,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",29.3,3,2,9
Nordland Nordlánnda,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",188.3,3,3,9
