Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Østfold,2024-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",74.4,1,3,16
Østfold,2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",93.7,1,4,16
Østfold,2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",64.0,1,4,16
Østfold,2024-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",41.2,1,4,16
Østfold,2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",207.0,1,5,16
Østfold,2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",135.4,1,5,16
Østfold,2024-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",117.5,1,5,16
Østfold,2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",265.8,1,6,16
Østfold,2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",187.7,1,6,16
Østfold,2024-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",141.2,1,6,16
Østfold,2024-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",216.3,1,7,16
Østfold,2024-01-01,Kjønn samlet,45-74 år,Psykiske symptomer,"per 1000, standardisert",166.2,1,7,16
Østfold,2024-01-01,Kjønn samlet,45-74 år,Psykiske lidelser,"per 1000, standardisert",87.9,1,7,16
Østfold,2024-01-01,Kjønn samlet,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",197.9,1,8,16
Østfold,2024-01-01,Kjønn samlet,75-79 år,Psykiske symptomer,"per 1000, standardisert",155.5,1,8,16
Østfold,2024-01-01,Kjønn samlet,75-79 år,Psykiske lidelser,"per 1000, standardisert",73.0,1,8,16
Østfold,2024-01-01,Menn,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",176.7,2,1,16
Østfold,2024-01-01,Menn,0-74 år,Psykiske symptomer,"per 1000, standardisert",125.4,2,1,16
Østfold,2024-01-01,Menn,0-74 år,Psykiske lidelser,"per 1000, standardisert",85.3,2,1,16
Østfold,2024-01-01,Menn,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",174.4,2,2,16
Østfold,2024-01-01,Menn,0-44 år,Psykiske symptomer,"per 1000, standardisert",117.7,2,2,16
Østfold,2024-01-01,Menn,0-44 år,Psykiske lidelser,"per 1000, standardisert",92.8,2,2,16
Østfold,2024-01-01,Menn,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",133.7,2,3,16
Østfold,2024-01-01,Menn,0-24 år,Psykiske symptomer,"per 1000, standardisert",86.1,2,3,16
Østfold,2024-01-01,Menn,0-24 år,Psykiske lidelser,"per 1000, standardisert",70.4,2,3,16
Østfold,2024-01-01,Menn,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",107.9,2,4,16
Østfold,2024-01-01,Menn,0-14 år,Psykiske symptomer,"per 1000, standardisert",70.9,2,4,16
Østfold,2024-01-01,Menn,0-14 år,Psykiske lidelser,"per 1000, standardisert",50.6,2,4,16
Østfold,2024-01-01,Menn,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",167.3,2,5,16
Østfold,2024-01-01,Menn,15-24 år,Psykiske symptomer,"per 1000, standardisert",105.9,2,5,16
Østfold,2024-01-01,Menn,15-24 år,Psykiske lidelser,"per 1000, standardisert",96.0,2,5,16
Østfold,2024-01-01,Menn,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",216.1,2,6,16
Østfold,2024-01-01,Menn,25-44 år,Psykiske symptomer,"per 1000, standardisert",150.1,2,6,16
Østfold,2024-01-01,Menn,25-44 år,Psykiske lidelser,"per 1000, standardisert",116.0,2,6,16
Østfold,2024-01-01,Menn,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",180.5,2,7,16
Østfold,2024-01-01,Menn,45-74 år,Psykiske symptomer,"per 1000, standardisert",137.4,2,7,16
Østfold,2024-01-01,Menn,45-74 år,Psykiske lidelser,"per 1000, standardisert",73.6,2,7,16
Østfold,2024-01-01,Menn,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",150.3,2,8,16
Østfold,2024-01-01,Menn,75-79 år,Psykiske symptomer,"per 1000, standardisert",119.3,2,8,16
Østfold,2024-01-01,Menn,75-79 år,Psykiske lidelser,"per 1000, standardisert",53.6,2,8,16
Østfold,2024-01-01,Kvinner,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",241.6,3,1,16
Østfold,2024-01-01,Kvinner,0-74 år,Psykiske symptomer,"per 1000, standardisert",177.3,3,1,16
Østfold,2024-01-01,Kvinner,0-74 år,Psykiske lidelser,"per 1000, standardisert",114.5,3,1,16
Østfold,2024-01-01,Kvinner,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",234.8,3,2,16
Østfold,2024-01-01,Kvinner,0-44 år,Psykiske symptomer,"per 1000, standardisert",165.4,3,2,16
Østfold,2024-01-01,Kvinner,0-44 år,Psykiske lidelser,"per 1000, standardisert",122.8,3,2,16
Østfold,2024-01-01,Kvinner,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",152.7,3,3,16
Østfold,2024-01-01,Kvinner,0-24 år,Psykiske symptomer,"per 1000, standardisert",104.5,3,3,16
Østfold,2024-01-01,Kvinner,0-24 år,Psykiske lidelser,"per 1000, standardisert",78.7,3,3,16
Østfold,2024-01-01,Kvinner,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",78.7,3,4,16
Østfold,2024-01-01,Kvinner,0-14 år,Psykiske symptomer,"per 1000, standardisert",56.8,3,4,16
Østfold,2024-01-01,Kvinner,0-14 år,Psykiske lidelser,"per 1000, standardisert",31.3,3,4,16
Østfold,2024-01-01,Kvinner,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",248.9,3,5,16
Østfold,2024-01-01,Kvinner,15-24 år,Psykiske symptomer,"per 1000, standardisert",166.6,3,5,16
Østfold,2024-01-01,Kvinner,15-24 år,Psykiske lidelser,"per 1000, standardisert",140.4,3,5,16
Østfold,2024-01-01,Kvinner,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",317.8,3,6,16
Østfold,2024-01-01,Kvinner,25-44 år,Psykiske symptomer,"per 1000, standardisert",226.9,3,6,16
Østfold,2024-01-01,Kvinner,25-44 år,Psykiske lidelser,"per 1000, standardisert",167.5,3,6,16
Østfold,2024-01-01,Kvinner,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",252.8,3,7,16
Østfold,2024-01-01,Kvinner,45-74 år,Psykiske symptomer,"per 1000, standardisert",195.6,3,7,16
Østfold,2024-01-01,Kvinner,45-74 år,Psykiske lidelser,"per 1000, standardisert",102.4,3,7,16
Østfold,2024-01-01,Kvinner,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",241.8,3,8,16
Østfold,2024-01-01,Kvinner,75-79 år,Psykiske symptomer,"per 1000, standardisert",189.0,3,8,16
Østfold,2024-01-01,Kvinner,75-79 år,Psykiske lidelser,"per 1000, standardisert",90.9,3,8,16
Akershus,2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",188.1,1,1,4
Akershus,2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",141.8,1,1,4
Akershus,2024-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",82.6,1,1,4
Akershus,2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",179.6,1,2,4
Akershus,2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",130.2,1,2,4
Akershus,2024-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",87.3,1,2,4
Akershus,2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",126.3,1,3,4
Akershus,2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",87.2,1,3,4
Akershus,2024-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",62.7,1,3,4
Akershus,2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",79.9,1,4,4
Akershus,2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",57.6,1,4,4
Akershus,2024-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",31.8,1,4,4
Akershus,2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",186.9,1,5,4
Akershus,2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",125.6,1,5,4
Akershus,2024-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",103.1,1,5,4
Akershus,2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",233.7,1,6,4
Akershus,2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",173.9,1,6,4
