Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2025-01-01,Kvinner,0-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",6.9,3,2,2
Hele landet,2025-01-01,Kvinner,0-74 år,KOLS (J44),"per 1000, standardisert",0.7,3,2,2
Hele landet,2025-01-01,Kvinner,0-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",15.3,3,2,2
Hele landet,2025-01-01,Kvinner,0-74 år,Personskader (S00-T78),"per 1000, standardisert",9.4,3,2,2
Hele landet,2025-01-01,Kvinner,0-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.4,3,2,2
Hele landet,2025-01-01,Kvinner,0-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.5,3,2,2
Hele landet,2025-01-01,Kvinner,0-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.9,3,2,2
Hele landet,2025-01-01,Kvinner,0-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.9,3,3,2
Hele landet,2025-01-01,Kvinner,0-44 år,KOLS (J44),"per 1000, standardisert",0.0,3,3,2
Hele landet,2025-01-01,Kvinner,0-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",7.0,3,3,2
Hele landet,2025-01-01,Kvinner,0-44 år,Personskader (S00-T78),"per 1000, standardisert",7.4,3,3,2
Hele landet,2025-01-01,Kvinner,0-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.4,3,3,2
Hele landet,2025-01-01,Kvinner,0-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,3,3,2
Hele landet,2025-01-01,Kvinner,0-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.1,3,3,2
Hele landet,2025-01-01,Kvinner,0-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.8,3,4,2
Hele landet,2025-01-01,Kvinner,0-24 år,KOLS (J44),"per 1000, standardisert",0.0,3,4,2
Hele landet,2025-01-01,Kvinner,0-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",4.5,3,4,2
Hele landet,2025-01-01,Kvinner,0-24 år,Personskader (S00-T78),"per 1000, standardisert",8.9,3,4,2
Hele landet,2025-01-01,Kvinner,0-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.1,3,4,2
Hele landet,2025-01-01,Kvinner,0-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,3,4,2
Hele landet,2025-01-01,Kvinner,0-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.3,3,4,2
Hele landet,2025-01-01,Kvinner,0-14 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.5,3,5,2
Hele landet,2025-01-01,Kvinner,0-14 år,KOLS (J44),"per 1000, standardisert",,3,5,2
Hele landet,2025-01-01,Kvinner,0-14 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",2.2,3,5,2
Hele landet,2025-01-01,Kvinner,0-14 år,Personskader (S00-T78),"per 1000, standardisert",8.5,3,5,2
Hele landet,2025-01-01,Kvinner,0-14 år,Hodeskader (S00-S09),"per 1000, standardisert",2.6,3,5,2
Hele landet,2025-01-01,Kvinner,0-14 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,3,5,2
Hele landet,2025-01-01,Kvinner,0-14 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.4,3,5,2
Hele landet,2025-01-01,Kvinner,15-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.1,3,6,2
Hele landet,2025-01-01,Kvinner,15-24 år,KOLS (J44),"per 1000, standardisert",,3,6,2
