ssbid_250,year,populasjon
21935006567500,2001,47.0
21935006568000,2001,35.0
21935006568500,2001,102.0
21935006568750,2001,47.0
21935006569000,2001,105.0
21935006569250,2001,26.0
21935006569500,2001,2.0
21935006569750,2001,10.0
21935006570000,2001,5.0
21935006570250,2001,1.0
21935006571750,2001,44.0
21935006572000,2001,167.0
21935006572250,2001,147.0
21935006572500,2001,108.0
21935006572750,2001,79.0
21935006573000,2001,95.0
21935006573250,2001,156.0
21935006573500,2001,155.0
21935006573750,2001,215.0
21935006574000,2001,143.0
21935006574500,2001,2.0
21935006574750,2001,23.0
21935006575000,2001,46.0
21935006575250,2001,173.0
21935006575500,2001,122.0
21935006575750,2001,188.0
21935006576000,2001,179.0
21935006576250,2001,44.0
21935006576500,2001,106.0
21935006576750,2001,132.0
21935006577000,2001,86.0
21935006577500,2001,9.0
21935006579000,2001,12.0
21935006579250,2001,4.0
21935006579500,2001,2.0
21935006580250,2001,2.0
21935006580500,2001,13.0
21935006580750,2001,9.0
21935006581000,2001,3.0
21935006581250,2001,3.0
21935006581500,2001,1.0
21935006582000,2001,3.0
21935006582250,2001,5.0
21935006582500,2001,17.0
21935006582750,2001,1.0
21937506567500,2001,6.0
21937506567750,2001,18.0
21937506568000,2001,26.0
