ogc_fid;pop_tot;ssbid250m
879;6;23400006661000
880;6;23400006661250
881;8;23395006661250
882;6;23397506661500
883;2;23395006661750
884;2;23392506662000
885;2;23392506662250
886;3;23390006662250
887;2;23387506662500
888;3;23395006662500
889;6;23395006662750
890;7;23395006663000
891;1;23392506663750
892;4;23455006662000
893;3;23462506662250
894;8;23462506662500
895;1;23465006662500
896;1;23462506662750
897;3;23467506662750
898;9;23482506659000
899;1;23482506659250
900;2;23487506661000
901;2;23490006661250
902;3;23487506661250
903;4;23472506661250
904;2;23485006661250
905;2;23490006661500
906;4;23487506661500
907;4;23490006661750
908;2;23492506662000
909;1;23492506662250
910;1;23472506661750
911;1;23527506659000
912;2;23535006659000
913;2;23535006659250
914;7;23535006659500
915;3;23535006659750
916;4;23535006660000
917;4;23535006660250
918;8;23535006660500
919;1;23535006661250
920;1;23532506661250
921;1;23530006661500
922;1;23520006661000
923;1;23517506661500
924;3;23522506660750
925;2;23527506660750
926;5;23522506661000
927;2;23527506662000
928;2;23525006662250
929;2;23517506662000
930;1;23517506662250
931;1;23495006663000
932;2;23507506663750
933;5;23532506661500
934;2;23530006661750
935;2;23522506662500
936;1;23525006662500
937;5;23522506662750
938;4;23517506662500
939;1;23515006663000
940;6;23520006663250
941;4;23520006663500
942;4;23515006663750
943;2;23517506663750
944;4;23515006664000
945;1;23505006663750
946;3;23505006664000
947;9;23502506664000
948;6;23502506664250
949;5;23505006664500
950;1;23502506664500
951;3;23497506664250
952;4;23500006664250
953;1;23500006664500
954;5;23510006664000
955;2;23507506664250
956;1;23512506664500
957;4;23512506664750
958;2;23500006664750
959;1;23500006665000
960;2;23507506665000
961;6;23512506665000
962;11;23510006665000
963;2;23507506665250
964;4;23512506665250
965;26;23510006665250
966;8;23507506665500
967;6;23512506665500
968;2;23502506664750
969;2;23502506665000
970;5;23502506665250
971;6;23505006665250
972;7;23502506665500
973;12;23505006665500
974;18;23502506665750
975;39;23505006665750
976;7;23510006665500
977;32;23510006665750
978;9;23512506665750
979;30;23507506665750
980;7;23510006666000
981;2;23507506666000
982;3;23512506666000
983;7;23512506666250
984;2;23495006666000
985;4;23495006666250
986;4;23502506666000
987;1;23505006666000
988;6;23502506666250
989;4;23505006667000
990;2;23495006666500
991;2;23500006666500
992;1;23522506665500
993;3;23520006665750
994;8;23515006665750
995;3;23517506665750
996;2;23520006667250
997;1;23517506667250
998;8;23512506666500
999;6;23512506666750
1000;4;23507506667250
1001;4;23510006667500
1002;4;23507506667500
1003;1;23510006667750
1004;2;23505006668000
1005;2;23507506668000
1006;7;23507506668250
1007;1;23507506668500
1008;6;23510006669500
1009;3;23430006664500
1010;3;23407506663500
1011;2;23407506663750
1012;3;23422506663750
1013;2;23420006663750
1014;3;23420006664250
1015;14;23415006664500
1016;4;23407506664000
1017;1;23402506664750
1018;2;23417506664500
1019;2;23412506665000
1020;2;23412506665250
1021;6;23410006666000
1022;6;23412506666000
1023;2;23410006666250
1024;3;23455006666250
1025;11;23455006666500
1026;19;23450006666000
1027;6;23447506666000
1028;1;23450006666250
1029;2;23395006663250
