Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2022,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",86.9565458893246
Hele landet,2022,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",86.6247353177814
Hele landet,2022,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",87.8030741030116
Hele landet,2022,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",104.943108734986
Hele landet,2022,menn,0-74 år,Skader,"per 1000, standardisert",93.9384581069134
Hele landet,2022,menn,0-44 år,Skader,"per 1000, standardisert",98.812807718892
Hele landet,2022,menn,0-24 år,Skader,"per 1000, standardisert",108.394900877847
Hele landet,2022,menn,0-14 år,Skader,"per 1000, standardisert",107.410689077087
Hele landet,2022,menn,15-24 år,Skader,"per 1000, standardisert",109.828922255586
Hele landet,2022,menn,25-44 år,Skader,"per 1000, standardisert",89.0634126426987
Hele landet,2022,menn,45-74 år,Skader,"per 1000, standardisert",86.3362149884204
Hele landet,2022,menn,45-64 år,Skader,"per 1000, standardisert",86.4489029745591
Hele landet,2022,menn,65-74 år,Skader,"per 1000, standardisert",86.0358266562235
Hele landet,2022,menn,75-79 år,Skader,"per 1000, standardisert",99.3322519580632
Hele landet,2022,kvinner,0-74 år,Skader,"per 1000, standardisert",82.1802553715474
Hele landet,2022,kvinner,0-44 år,Skader,"per 1000, standardisert",78.6089372644929
Hele landet,2022,kvinner,0-24 år,Skader,"per 1000, standardisert",86.8222474895352
Hele landet,2022,kvinner,0-14 år,Skader,"per 1000, standardisert",85.0456055145991
Hele landet,2022,kvinner,15-24 år,Skader,"per 1000, standardisert",89.347135946969
Hele landet,2022,kvinner,25-44 år,Skader,"per 1000, standardisert",70.317228910932
Hele landet,2022,kvinner,45-74 år,Skader,"per 1000, standardisert",87.5893719749032
Hele landet,2022,kvinner,45-64 år,Skader,"per 1000, standardisert",86.8067769600196
Hele landet,2022,kvinner,65-74 år,Skader,"per 1000, standardisert",89.533284577039
Hele landet,2022,kvinner,75-79 år,Skader,"per 1000, standardisert",110.149558700235
Hele landet,2023,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",90.3974843406305
Hele landet,2023,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",91.3620170005465
Hele landet,2023,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",101.400714003995
Hele landet,2023,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",101.836449831956
Hele landet,2023,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",100.883534823111
Hele landet,2023,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",81.1622908273683
Hele landet,2023,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",88.9173051064788
Hele landet,2023,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",88.374174694145
Hele landet,2023,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",90.3071988000982
Hele landet,2023,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",106.2692572453
Hele landet,2023,menn,0-74 år,Skader,"per 1000, standardisert",96.2725728668302
Hele landet,2023,menn,0-44 år,Skader,"per 1000, standardisert",101.32927735098
Hele landet,2023,menn,0-24 år,Skader,"per 1000, standardisert",113.046555621881
Hele landet,2023,menn,0-14 år,Skader,"per 1000, standardisert",113.552389512501
Hele landet,2023,menn,15-24 år,Skader,"per 1000, standardisert",112.432816270785
Hele landet,2023,menn,25-44 år,Skader,"per 1000, standardisert",89.3530023977222
Hele landet,2023,menn,45-74 år,Skader,"per 1000, standardisert",88.3854251691535
Hele landet,2023,menn,45-64 år,Skader,"per 1000, standardisert",88.3497408354939
Hele landet,2023,menn,65-74 år,Skader,"per 1000, standardisert",88.4785164672711
Hele landet,2023,menn,75-79 år,Skader,"per 1000, standardisert",101.213027440099
Hele landet,2023,kvinner,0-74 år,Skader,"per 1000, standardisert",84.2928634769225
Hele landet,2023,kvinner,0-44 år,Skader,"per 1000, standardisert",80.879370245033
Hele landet,2023,kvinner,0-24 år,Skader,"per 1000, standardisert",89.0794757870803
Hele landet,2023,kvinner,0-14 år,Skader,"per 1000, standardisert",89.4598066810129
Hele landet,2023,kvinner,15-24 år,Skader,"per 1000, standardisert",88.6392934583742
Hele landet,2023,kvinner,25-44 år,Skader,"per 1000, standardisert",72.6000611452251
Hele landet,2023,kvinner,45-74 år,Skader,"per 1000, standardisert",89.4596494073592
Hele landet,2023,kvinner,45-64 år,Skader,"per 1000, standardisert",88.3990965871814
Hele landet,2023,kvinner,65-74 år,Skader,"per 1000, standardisert",92.0966612108225
Hele landet,2023,kvinner,75-79 år,Skader,"per 1000, standardisert",110.965708990357
Hele landet,2024,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",90.8946344337464
Hele landet,2024,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",92.1300566991641
Hele landet,2024,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",102.899349961345
Hele landet,2024,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",105.104137892301
Hele landet,2024,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",100.031311037886
Hele landet,2024,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",81.1799972918916
Hele landet,2024,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",88.9963307882957
Hele landet,2024,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",88.5184395085591
Hele landet,2024,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",90.2186347184754
Hele landet,2024,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",105.950560922208
Hele landet,2024,menn,0-74 år,Skader,"per 1000, standardisert",96.5840351131347
Hele landet,2024,menn,0-44 år,Skader,"per 1000, standardisert",101.833297641264
Hele landet,2024,menn,0-24 år,Skader,"per 1000, standardisert",114.335306674633
Hele landet,2024,menn,0-14 år,Skader,"per 1000, standardisert",116.334330675984
Hele landet,2024,menn,15-24 år,Skader,"per 1000, standardisert",111.739370417534
Hele landet,2024,menn,25-44 år,Skader,"per 1000, standardisert",89.0464338688187
Hele landet,2024,menn,45-74 år,Skader,"per 1000, standardisert",88.3954554990272
Hele landet,2024,menn,45-64 år,Skader,"per 1000, standardisert",88.3017350961667
Hele landet,2024,menn,65-74 år,Skader,"per 1000, standardisert",88.6421291155468
Hele landet,2024,menn,75-79 år,Skader,"per 1000, standardisert",101.341517572517
Hele landet,2024,kvinner,0-74 år,Skader,"per 1000, standardisert",84.9831206065
Hele landet,2024,kvinner,0-44 år,Skader,"per 1000, standardisert",81.9250214920961
Hele landet,2024,kvinner,0-24 år,Skader,"per 1000, standardisert",90.799791148344
Hele landet,2024,kvinner,0-14 år,Skader,"per 1000, standardisert",93.2404338869273
Hele landet,2024,kvinner,15-24 år,Skader,"per 1000, standardisert",87.6191997395229
Hele landet,2024,kvinner,25-44 år,Skader,"per 1000, standardisert",72.9569428028889
Hele landet,2024,kvinner,45-74 år,Skader,"per 1000, standardisert",89.609143839853
Hele landet,2024,kvinner,45-64 år,Skader,"per 1000, standardisert",88.7430497290994
Hele landet,2024,kvinner,65-74 år,Skader,"per 1000, standardisert",91.7613716676561
Hele landet,2024,kvinner,75-79 år,Skader,"per 1000, standardisert",110.232039505124
Telemark,2017,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",101.262591579508
Telemark,2017,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",105.27261270752
Telemark,2017,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",113.303406444286
Telemark,2017,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",115.004531504217
Telemark,2017,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",111.070285000867
Telemark,2017,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",97.8844306687926
Telemark,2017,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",95.6482986948043
Telemark,2017,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",97.7842374138957
Telemark,2017,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",90.7358097861443
Telemark,2017,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",103.855367073976
Telemark,2017,menn,0-74 år,Skader,"per 1000, standardisert",111.178650811227
